,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,LORONG KARANG ANYAR,5:45:45 AM,,29,33,25,1.80,5:45:53 AM,45.89,5:45:26 AM,45.44,5:46:29 AM,46.49,,8,LORONG KARANG ANYAR, 07:21:40,,33.1,54.7,9.8,1.80,7:21:26 AM,141.43,7:20:08 AM,140.14,7:29:11 AM,149.19,,8,LORONG KARANG ANYAR, 08:50:35,,32.1,42.1,31.6,1.75,8:50:19 AM,230.32,8:49:33 AM,229.54,8:50:22 AM,230.37,,8,LORONG KARANG ANYAR,10:17:17 AM,,33.0,38.9,26.6,1.80,10:16:37 AM,316.62,10:16:08 AM,316.13,10:17:25 AM,317.41,,8,LORONG KARANG ANYAR,11:48:58 AM,,32,46.4,29.9,1.7,11:48:31 AM,408.52,11:47:32 AM,407.53,11:48:45 AM,408.74,,8,LORONG KARANG ANYAR,1:30:18 PM,,31.5,42.4,20.5,1.76,1:29:59 PM,509.99,1:29:07 PM,509.12,1:31:47 PM,511.78,,,8,LORONG KARANG ANYAR,2:57:15 PM,,33.8,39.2,33.2,1.8,2:56:45 PM,596.75,2:56:18 PM,596.31,2:56:48 PM,596.80,,8,LORONG KARANG ANYAR,4:26:45 PM,,27.3,28.7,17.6,1.75,4:26:24 PM,686.40,4:26:13 PM,686.21,4:28:31 PM,688.52
9,PUSKESMAS TEGAL BINANGUN,5:48:26 AM,,23,29,17,1.20,5:48:53 AM,48.88,5:48:14 AM,48.23,5:49:59 AM,49.99,,9,PUSKESMAS TEGAL BINANGUN, 07:24:23,,22.5,38.5,9.8,1.20,7:24:52 AM,144.87,7:23:32 AM,143.54,7:29:01 AM,149.01,,9,PUSKESMAS TEGAL BINANGUN,8:53:56 AM,,24.8,39.2,12.6,1.20,8:53:29 AM,233.49,8:52:25 AM,232.42,8:56:18 AM,236.30,,9,PUSKESMAS TEGAL BINANGUN,10:20:14 AM,,28.4,42.6,21.7,1.20,10:19:49 AM,319.82,10:18:58 AM,318.97,10:20:36 AM,320.60,,9,PUSKESMAS TEGAL BINANGUN,11:52:15 AM,,24.1,44.6,21.6,1.16,11:51:51 AM,411.85,11:50:32 AM,410.53,11:52:11 AM,412.19,,9,PUSKESMAS TEGAL BINANGUN,1:33:55 PM,,20.9,31.0,20.1,1.16,1:33:38 PM,513.63,1:32:33 PM,512.55,1:33:46 PM,513.76,,,9,PUSKESMAS TEGAL BINANGUN,3:00:12 PM,,25.3,33.2,21.1,1.13,2:59:56 PM,599.93,2:59:18 PM,599.29,3:00:28 PM,600.46,,9,PUSKESMAS TEGAL BINANGUN,4:30:02 PM,,23,26.5,21.7,1.12,4:29:40 PM,689.67,4:29:17 PM,689.29,4:29:51 PM,689.85
10,SIMPANG PASAR TEGAL BINANGUN,5:50:54 AM,,23,28,18,0.82,5:50:34 AM,50.57,5:50:11 AM,50.19,5:51:10 AM,51.17,,10,SIMPANG PASAR TEGAL BINANGUN, 07:27:54,,27.8,40.7,11.2,0.82,7:26:09 AM,146.15,7:25:36 AM,145.59,7:28:47 AM,148.78,,10,SIMPANG PASAR TEGAL BINANGUN,8:56:40 AM,,25.9,49.0,24.3,0.92,8:56:04 AM,236.06,8:55:04 AM,235.06,8:56:12 AM,236.20,,10,SIMPANG PASAR TEGAL BINANGUN,10:22:33 AM,,24.7,42.3,9.3,0.85,10:22:18 AM,322.30,10:21:26 AM,321.44,10:25:43 AM,325.72,,10,SIMPANG PASAR TEGAL BINANGUN,11:54:58 AM,,22.6,46.4,21.2,0.93,11:54:43 AM,414.72,11:53:27 AM,413.45,11:54:53 AM,414.88,,10,SIMPANG PASAR TEGAL BINANGUN,1:36:43 PM,,22.1,32.3,18.1,0.92,1:36:25 PM,516.41,1:35:38 PM,515.63,1:36:58 PM,516.97,,,10,SIMPANG PASAR TEGAL BINANGUN,3:02:52 PM,,23.7,30.1,20.5,0.92,3:02:32 PM,602.53,3:02:02 PM,602.03,3:02:54 PM,602.89,,10,SIMPANG PASAR TEGAL BINANGUN,4:33:52 PM,,15.5,23.1,3.9,0.89,4:33:29 PM,693.48,4:32:21 PM,692.35,4:43:44 PM,703.73
11,TERMINAL PLAJU,5:54:13 AM,,30.5,36,25,1.40,5:53:39 AM,53.65,5:53:14 AM,53.23,5:54:16 AM,54.26,,11,TERMINAL PLAJU, 07:33:10,,20.8,36.7,6.8,1.40,7:31:56 AM,151.94,7:30:11 AM,150.19,7:40:15 AM,160.25,,11,TERMINAL PLAJU,9:00:43 AM,,21.8,54.0,12.3,1.40,9:00:31 AM,240.52,8:58:13 AM,238.22,9:03:30 AM,243.50,,11,TERMINAL PLAJU,10:27:45 AM,,27.5,45.4,10.3,1.40,10:25:36 AM,325.60,10:24:24 AM,324.40,10:30:42 AM,330.71,,11,TERMINAL PLAJU,11:59:22 AM,,20.2,33.5,20.1,1.36,11:59:00 AM,419.01,11:57:24 AM,417.40,11:59:02 AM,419.03,,11,TERMINAL PLAJU,1:41:37 PM,,17.9,29.7,17.9,1.36,1:41:17 PM,521.28,1:39:28 PM,519.46,1:41:17 PM,521.28,,,11,TERMINAL PLAJU,3:07:15 PM,,19.6,23.2,19.6,1.33,3:06:56 PM,606.94,3:06:18 PM,606.31,3:06:56 PM,606.94,,11,TERMINAL PLAJU,4:38:58 PM,,16.8,20.3,7.1,1.31,4:38:33 PM,698.55,4:37:44 PM,697.74,4:44:56 PM,704.94
12,SIMPANG PASAR TEGAL BINANGUN,5:57:10 AM,,28,35,21,1.30,5:57:00 AM,57.00,5:56:27 AM,56.45,5:57:56 AM,57.93,,12,SIMPANG PASAR TEGAL BINANGUN, 07:38:40,,21.4,41.4,9.4,1.30,7:36:49 AM,156.81,7:35:03 AM,155.05,7:41:28 AM,161.46,,12,SIMPANG PASAR TEGAL BINANGUN,9:04:42 AM,,19.8,38.5,12.6,1.27,9:04:34 AM,244.57,9:02:42 AM,242.70,9:06:46 AM,246.76,,12,SIMPANG PASAR TEGAL BINANGUN,10:32:35 AM,,27.5,43.2,16.4,1.30,10:30:35 AM,330.59,10:29:33 AM,329.56,10:32:30 AM,332.51,,12,SIMPANG PASAR TEGAL BINANGUN,12:03:00 PM,,17.9,32.8,11.6,1.23,12:03:29 PM,423.49,12:01:37 PM,421.62,12:05:44 PM,425.73,,12,SIMPANG PASAR TEGAL BINANGUN,1:45:08 PM,,22.1,37.4,8.3,1.25,1:45:01 PM,525.01,1:43:37 PM,523.62,1:50:39 PM,530.65,,,12,SIMPANG PASAR TEGAL BINANGUN,3:10:48 PM,,22.6,28.3,22.4,1.19,3:10:25 PM,610.41,3:09:46 PM,609.77,3:10:26 PM,610.44,,12,SIMPANG PASAR TEGAL BINANGUN,4:43:23 PM,,18.1,23.1,6.9,1.22,4:43:01 PM,703.01,4:42:08 PM,702.14,4:49:35 PM,709.58
13,PUSKERSMAS TEGAL BINANGUN,5:59:49 AM,,26.5,34,19,0.92,5:59:15 AM,59.25,5:58:47 AM,58.79,6:00:04 AM,60.07,,13,PUSKERSMAS TEGAL BINANGUN, 07:41:26,,23.2,37.8,11.8,0.92,7:41:03 AM,161.05,7:40:08 AM,160.13,7:43:21 AM,163.34,,13,PUSKERSMAS TEGAL BINANGUN,9:07:17 AM,,25.6,36.4,22.2,0.92,9:06:51 AM,246.86,9:06:13 AM,246.22,9:07:11 AM,247.19,,13,PUSKERSMAS TEGAL BINANGUN,10:35:09 AM,,27.4,37.1,12.3,0.92,10:34:36 AM,334.60,10:34:04 AM,334.07,10:37:04 AM,337.07,,13,PUSKERSMAS TEGAL BINANGUN,12:06:55 PM,,19.3,36,11.7,0.86,12:05:40 PM,425.67,12:04:26 PM,424.43,12:07:25 PM,427.41,,13,PUSKERSMAS TEGAL BINANGUN,1:48:09 PM,,21.0,36.3,19.8,0.88,1:47:39 PM,527.65,1:46:35 PM,526.59,1:47:48 PM,527.80,,,13,PUSKERSMAS TEGAL BINANGUN,3:13:37 PM,,21.8,30.1,21.5,0.86,3:13:10 PM,613.17,3:12:31 PM,612.51,3:13:12 PM,613.20,,13,PUSKERSMAS TEGAL BINANGUN,4:46:27 PM,,25.6,34.6,17.1,0.9,4:45:30 PM,705.49,4:44:57 PM,704.94,4:46:32 PM,706.54
14,LORONG KARANG ANYAR,6:02:59 AM,,25.5,34,17,1.20,6:02:38 AM,62.64,6:01:56 AM,61.93,6:04:03 AM,64.05,,14,LORONG KARANG ANYAR, 07:44:13,,27.0,38.9,8.4,1.20,7:44:06 AM,164.10,7:43:17 AM,163.28,7:50:00 AM,170.00,,14,LORONG KARANG ANYAR,9:10:25 AM,,29.6,41.8,26.3,1.15,9:09:37 AM,249.61,9:08:56 AM,248.93,9:09:54 AM,249.91,,14,LORONG KARANG ANYAR,10:38:24 AM,,28.1,34.2,21.4,1.20,10:37:43 AM,337.71,10:37:15 AM,337.26,10:38:31 AM,338.51,,14,LORONG KARANG ANYAR,12:09:49 PM,,28.4,38.9,22.2,1.24,12:09:32 PM,429.54,12:08:50 PM,428.83,12:10:16 PM,430.27,,14,LORONG KARANG ANYAR,1:51:39 PM,,26.7,31.7,23.2,1.28,1:51:02 PM,531.03,1:50:34 PM,530.57,1:51:28 PM,531.46,,,14,LORONG KARANG ANYAR,3:16:40 PM,,26.6,30.9,25.6,1.25,3:16:26 PM,616.44,3:16:03 PM,616.04,3:16:33 PM,616.55,,14,LORONG KARANG ANYAR,4:50:51 PM,,30.1,38.5,17.2,1.03,4:48:30 PM,708.50,4:48:03 PM,708.06,4:50:03 PM,710.04
15,SIMPANG TEGAL BINANGUN,6:06:09 AM,,32.5,36,29,1.77,6:06:15 AM,66.25,6:05:56 AM,65.93,6:06:39 AM,66.65,,15,SIMPANG TEGAL BINANGUN, 07:48:22,,28.2,41.8,16.1,1.77,7:47:59 AM,167.98,7:46:45 AM,166.76,7:50:49 AM,170.81,,15,SIMPANG TEGAL BINANGUN,9:13:50 AM,,31.6,44.3,15.6,1.77,9:13:47 AM,253.78,9:12:49 AM,252.81,9:17:13 AM,257.22,,15,SIMPANG TEGAL BINANGUN,10:42:25 AM,,35.6,38.9,10.0,1.77,10:41:23 AM,341.38,10:41:08 AM,341.13,10:49:01 AM,349.02,,15,SIMPANG TEGAL BINANGUN,12:13:32 PM,,31.9,40.7,27.2,1.76,12:13:08 PM,433.13,12:12:25 PM,432.41,12:13:42 PM,433.70,,15,SIMPANG TEGAL BINANGUN,1:55:29 PM,,30.9,37.1,22.2,1.74,1:55:02 PM,535.03,1:54:28 PM,534.46,1:56:21 PM,536.35,,,15,SIMPANG TEGAL BINANGUN,3:20:50 PM,,27.7,34.7,20.7,1.72,3:20:24 PM,620.39,3:19:38 PM,619.64,3:21:39 PM,621.65,,15,SIMPANG TEGAL BINANGUN,4:54:58 PM,,35.6,40.1,21.2,1.72,4:53:45 PM,713.75,4:53:25 PM,713.42,4:55:43 PM,715.72
16,DEPO DJKA,6:07:14 AM,,29.5,34,25,0.34,6:06:50 AM,66.84,6:06:45 AM,66.75,6:06:58 AM,66.97,,16,DEPO DJKA, 07:50:40,,13.7,27.4,13.1,0.34,7:49:51 AM,169.86,7:49:07 AM,169.11,7:49:55 AM,169.92,,16,DEPO DJKA,9:14:51 AM,,30.4,41.4,29.6,0.34,9:14:30 AM,254.50,9:14:20 AM,254.33,9:14:31 AM,254.52,,16,DEPO DJKA,10:43:46 AM,,21.2,39.7,9.8,0.35,10:43:24 AM,343.41,10:42:57 AM,342.95,10:44:34 AM,344.56,,16,DEPO DJKA,12:14:36 PM,,20.8,37.4,20.6,0.3,12:14:24 PM,434.40,12:14:01 PM,434.01,12:14:24 PM,434.41,,16,DEPO DJKA,1:56:57 PM,,12.0,30.6,9.9,0.14,1:56:11 PM,536.18,1:55:45 PM,535.76,1:56:20 PM,536.33,,,16,DEPO DJKA,3:22:46 PM,,21,31.5,19.1,0.38,3:21:55 PM,621.92,3:21:33 PM,621.56,3:22:02 PM,622.03,,16,DEPO DJKA,4:56:37 PM,,13.6,30.2,13.2,0.23,4:55:59 PM,715.98,4:55:25 PM,715.42,4:56:01 PM,716.01
17,OPI MALL,6:08:18 AM,,35.5,41,30,0.52,6:08:07 AM,68.11,6:08:00 AM,67.99,6:08:16 AM,68.27,,17,OPI MALL, 07:51:29,,23.8,44.3,17.3,0.52,7:51:59 AM,171.98,7:51:22 AM,171.37,7:52:28 AM,172.47,,17,OPI MALL,9:16:12 AM,,27.8,43.9,21.2,0.50,9:15:56 AM,255.93,9:15:32 AM,255.53,9:16:16 AM,256.27,,17,OPI MALL,10:45:09 AM,,28.3,40.0,11.6,0.52,10:44:52 AM,344.87,10:44:33 AM,344.55,10:46:27 AM,346.46,,17,OPI MALL,12:16:24 PM,,22.2,38.2,20.5,0.53,12:16:02 PM,436.03,12:15:26 PM,435.43,12:16:09 PM,436.15,,17,OPI MALL,1:58:45 PM,,20.6,38.9,12.1,0.49,1:58:23 PM,538.38,1:57:42 PM,537.71,1:59:23 PM,539.38,,,17,OPI MALL,3:23:52 PM,,33.2,37.1,33.2,0.45,3:23:35 PM,623.58,3:23:30 PM,623.49,3:23:35 PM,623.58,,17,OPI MALL,4:58:08 PM,,26.8,35.5,24.5,0.58,4:57:55 PM,717.92,4:57:36 PM,717.60,4:58:02 PM,718.04
18,DJKA,6:09:09 AM,,30.5,39,22,0.43,6:09:09 AM,69.15,6:08:58 AM,68.96,6:09:28 AM,69.47,,18,DJKA, 07:53:19,,25.3,38.9,20.7,0.43,7:52:30 AM,172.50,7:52:09 AM,172.15,7:52:44 AM,172.73,,18,DJKA,9:17:09 AM,,33.9,61.0,7.3,0.40,9:16:54 AM,256.91,9:16:36 AM,256.59,9:19:29 AM,259.49,,18,DJKA,10:46:10 AM,,27.0,37.4,22.6,0.43,10:46:06 AM,346.11,10:45:50 AM,345.84,10:46:17 AM,346.29,,18,DJKA,12:18:19 PM,,24.9,43.6,8.2,0.42,12:17:25 PM,437.41,12:16:59 PM,436.98,12:19:28 PM,439.47,,18,DJKA,1:59:59 PM,,26.2,39.2,15.3,0.42,1:59:43 PM,539.71,1:59:24 PM,539.39,2:00:24 PM,540.40,,,18,DJKA,3:24:51 PM,,33.6,39.9,31.3,0.42,3:24:37 PM,624.62,3:24:30 PM,624.50,3:24:40 PM,624.67,,18,DJKA,4:59:04 PM,,38.5,39.5,38.5,0.42,4:58:47 PM,718.79,4:58:46 PM,718.77,4:58:47 PM,718.79
19,STASIUN JAKABARING,6:10:59 AM,,42,42,42,1.00,6:10:35 AM,70.58,6:10:35 AM,70.58,6:10:35 AM,70.58,,19,STASIUN JAKABARING, 07:55:11,,36.9,47.9,17.9,1.00,7:54:57 AM,174.94,7:54:34 AM,174.57,7:56:40 AM,176.67,,19,STASIUN JAKABARING,9:18:55 AM,,37.3,46.1,10.3,0.98,9:18:44 AM,258.73,9:18:26 AM,258.43,9:22:52 AM,262.86,,19,STASIUN JAKABARING,10:48:05 AM,,41.5,56.5,25.0,1.00,10:47:37 AM,347.61,10:47:14 AM,347.23,10:48:34 AM,348.57,,19,STASIUN JAKABARING,12:20:13 PM,,38,42.8,6.7,1.04,12:19:58 PM,439.96,12:19:46 PM,439.77,12:27:38 PM,447.63,,19,STASIUN JAKABARING,2:01:59 PM,,36.0,44.6,32.7,1.05,2:01:44 PM,541.73,2:01:24 PM,541.40,2:01:55 PM,541.91,,,19,STASIUN JAKABARING,3:26:39 PM,,39.3,40.4,38.5,1.01,3:26:24 PM,626.39,3:26:21 PM,626.35,3:26:25 PM,626.42,,19,STASIUN JAKABARING,5:00:53 PM,,39.4,40.3,32.7,1.05,5:00:40 PM,720.67,5:00:38 PM,720.63,5:01:00 PM,720.99
