,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ritasi ke - 1,,,,,,,,,,,,,,,Ritasi ke - 2,,,,,,,,,,,,,,,Ritasi ke - 3,,,,,,,,,,,,,,,Ritasi ke - 4,,,,,,,,,,,,,,,Ritasi ke - 5,,,,,,,,,,,,,,,Ritasi ke - 6,,,,,,,,,,,,,,,,Ritasi ke - 7,,,,,,,,,,,,,,,Ritasi ke - 8,,,,,,,,,,,,
No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min
,TERMINAL JAKABARING,5:30:07 AM,5:30:07 AM,,,,-,,,,,,,,,TERMINAL JAKABARING, 07:02:35, 07:02:35,-,-,-,-,,,,,,,,,TERMINAL JAKABARING, 08:33:57, 08:33:57,-,-,-,-,,,,,,,,,TERMINAL JAKABARING,9:59:23 AM,9:59:23 AM,-,-,-,-,,,,,,,,,TERMINAL JAKABARING,11:31:15 AM,11:31:15 AM,-,-,-,-,,,,,,,,,TERMINAL JAKABARING,1:11:47 PM,1:11:47 PM,-,-,-,-,,,,,,,,,,TERMINAL JAKABARING,2:38:52 PM,2:38:52 PM,-,-,-,-,,,,,,,,,TERMINAL JAKABARING,4:06:04 PM,4:06:04 PM,-,-,-,-,,,,,,
1,PLN A,5:34:12 AM,,33,40,26,2.78,5:35:10 AM,35.17,5:34:17 AM,34.29,5:36:32 AM,36.53,,1,PLN A, 07:08:26,,32.6,42.7,17.9,2.78,7:07:42 AM,127.70,7:06:29 AM,126.49,7:11:54 AM,131.90,,1,PLN A, 08:39:10,,31.4,45.7,16.1,2.85,8:39:24 AM,219.40,8:37:42 AM,217.69,8:44:34 AM,224.57,,1,PLN A,10:04:39 AM,,33.6,46.1,16.3,2.80,10:04:23 AM,304.38,10:03:02 AM,303.03,10:09:41 AM,309.69,,1,PLN A,11:36:50 AM,,29.9,45.7,9.1,2.8,11:36:52 AM,396.87,11:34:56 AM,394.93,11:49:43 AM,409.71,,1,PLN A,1:17:36 PM,,28.0,42.4,9.7,2.83,1:17:51 PM,497.85,1:15:47 PM,495.79,1:29:17 PM,509.29,,,1,PLN A,2:44:12 PM,,30,35.1,20.3,2.83,2:44:32 PM,584.53,2:43:42 PM,583.70,2:47:14 PM,587.23,,1,PLN A,4:12:15 PM,,39.7,42.3,10.9,2.9,4:10:27 PM,670.45,4:10:11 PM,670.18,4:22:02 PM,682.03
2,BANK SUMSEL BABEL B,5:36:03 AM,,37.5,40,35,0.91,5:35:39 AM,35.66,5:35:34 AM,35.57,5:35:46 AM,35.76,,2,BANK SUMSEL BABEL B, 07:10:27,,45.0,48.2,37.9,0.91,7:09:39 AM,129.65,7:09:34 AM,129.57,7:09:52 AM,129.87,,2,BANK SUMSEL BABEL B, 08:40:45,,42.3,58.3,33.2,0.90,8:40:27 AM,220.44,8:40:06 AM,220.09,8:40:48 AM,220.79,,2,BANK SUMSEL BABEL B,10:06:14 AM,,33.8,40.7,25.9,0.90,10:06:15 AM,306.25,10:05:59 AM,305.98,10:06:44 AM,306.73,,2,BANK SUMSEL BABEL B,11:38:24 AM,,41.1,46.1,29.8,0.75,11:37:56 AM,397.93,11:37:49 AM,397.81,11:38:21 AM,398.34,,2,BANK SUMSEL BABEL B,1:19:14 PM,,41.0,48.2,40.7,0.91,1:18:56 PM,498.93,1:18:44 PM,498.73,1:18:56 PM,498.94,,,2,BANK SUMSEL BABEL B,2:45:50 PM,,40.1,48.9,32.8,0.82,2:45:26 PM,585.43,2:45:12 PM,585.21,2:45:42 PM,585.70,,2,BANK SUMSEL BABEL B,4:13:51 PM,,40.3,49.9,35.5,0.87,4:13:33 PM,673.55,4:13:18 PM,673.30,4:13:43 PM,673.72
3,GOR JAKABARING,5:36:51 AM,,35,40,30,0.37,5:36:41 AM,36.68,5:36:36 AM,36.61,5:36:47 AM,36.79,,3,GOR JAKABARING, 07:11:22,,30.2,42.5,27.0,0.37,7:11:11 AM,131.19,7:10:58 AM,130.97,7:11:16 AM,131.27,,3,GOR JAKABARING, 08:41:39,,33.6,48.6,34.8,0.37,8:41:25 AM,221.41,8:41:12 AM,221.21,8:41:23 AM,221.39,,3,GOR JAKABARING,10:07:07 AM,,33.5,40.3,25.4,0.37,10:06:54 AM,306.90,10:06:47 AM,306.78,10:07:06 AM,307.11,,3,GOR JAKABARING,11:39:21 AM,,30.2,37.8,28.9,0.34,11:39:05 AM,399.08,11:38:56 AM,398.94,11:39:06 AM,399.11,,3,GOR JAKABARING,1:20:08 PM,,29.7,32.7,29.7,0.37,1:19:59 PM,499.98,1:19:55 PM,499.91,1:19:59 PM,499.98,,,3,GOR JAKABARING,2:46:40 PM,,31.3,37.4,31.4,0.38,2:46:34 PM,586.56,2:46:27 PM,586.44,2:46:34 PM,586.56,,3,GOR JAKABARING,4:14:45 PM,,35.8,41.2,34,0.35,4:14:26 PM,674.44,4:14:22 PM,674.36,4:14:28 PM,674.47
4,STASIUN JAKABARING,5:37:36 AM,,33,36,30,0.35,5:37:29 AM,37.49,5:37:26 AM,37.43,5:37:33 AM,37.55,,4,STASIUN JAKABARING, 07:12:03,,34.7,41.0,31.3,0.35,7:11:58 AM,131.97,7:11:53 AM,131.88,7:12:02 AM,132.04,,4,STASIUN JAKABARING, 08:42:25,,32.6,39.6,9.7,0.32,8:42:14 AM,222.24,8:42:08 AM,222.13,8:43:38 AM,223.63,,4,STASIUN JAKABARING,10:07:55 AM,,31.5,45.4,20.2,0.35,10:07:47 AM,307.78,10:07:35 AM,307.58,10:08:09 AM,308.16,,4,STASIUN JAKABARING,11:40:15 AM,,24.5,30.6,18.7,0.17,11:39:46 AM,399.77,11:39:41 AM,399.68,11:39:54 AM,399.90,,4,STASIUN JAKABARING,1:20:59 PM,,34.2,43.8,29.9,0.31,1:20:41 PM,500.68,1:20:33 PM,500.56,1:20:45 PM,500.76,,,4,STASIUN JAKABARING,2:47:44 PM,,27,30.6,24.4,0.31,2:47:21 PM,587.36,2:47:16 PM,587.27,2:47:26 PM,587.43,,4,STASIUN JAKABARING,4:15:40 PM,,27.7,31.2,21.9,0.33,4:15:28 PM,675.46,4:15:23 PM,675.38,4:15:39 PM,675.65
5,DJKA,5:39:11 AM,,40,42,38,1.00,5:39:06 AM,39.10,5:39:02 AM,39.03,5:39:11 AM,39.18,,5,DJKA, 07:13:26,,42.7,49.7,40.2,1.00,7:13:27 AM,133.46,7:13:15 AM,133.26,7:13:33 AM,133.54,,5,DJKA, 08:44:03,,40.6,58.3,18.3,1.00,8:43:54 AM,223.89,8:43:27 AM,223.45,8:45:42 AM,225.70,,5,DJKA,10:09:36 AM,,38.2,43.2,28.7,1.00,10:09:29 AM,309.49,10:09:18 AM,309.31,10:10:00 AM,310.01,,5,DJKA,11:41:01 AM,,39.1,47.2,35.4,1.04,11:41:51 AM,401.85,11:41:34 AM,401.57,11:42:01 AM,402.01,,5,DJKA,1:22:50 PM,,40.0,48.6,10.0,1.03,1:22:32 PM,502.53,1:22:15 PM,502.25,1:27:10 PM,507.16,,,5,DJKA,2:49:40 PM,,36,45.2,31.2,1.03,2:49:27 PM,589.45,2:49:06 PM,589.10,2:49:43 PM,589.71,,5,DJKA,4:17:40 PM,,35.7,36.1,35.2,1.04,4:17:25 PM,677.41,4:17:24 PM,677.40,4:17:26 PM,677.44
6,DEPO DJKA,5:41:07 AM,,32.5,33,32,1.00,5:41:02 AM,41.03,5:41:00 AM,41.00,5:41:04 AM,41.06,,6,DEPO DJKA, 07:16:05,,26.8,42.8,9.7,1.00,7:15:40 AM,135.67,7:14:50 AM,134.84,7:19:37 AM,139.62,,6,DEPO DJKA, 08:46:00,,34.5,45.4,34.1,1.00,8:45:47 AM,225.79,8:45:22 AM,225.37,8:45:49 AM,225.81,,6,DEPO DJKA,10:11:50 AM,,24.6,37.1,8.6,1.00,10:12:02 AM,312.04,10:11:13 AM,311.22,10:16:35 AM,316.58,,6,DEPO DJKA,11:44:21 AM,,28.9,39.6,27.2,0.94,11:42:58 AM,402.97,11:42:26 AM,402.44,11:43:05 AM,403.09,,6,DEPO DJKA,1:25:23 PM,,24.8,35.1,22.2,1.02,1:25:18 PM,505.30,1:24:35 PM,504.58,1:25:35 PM,505.59,,,6,DEPO DJKA,2:52:19 PM,,24.2,35.8,22.2,0.92,2:51:57 PM,591.95,2:51:13 PM,591.21,2:52:09 PM,592.15,,6,DEPO DJKA,4:20:30 PM,,22,30.9,15.5,0.93,4:20:12 PM,680.20,4:19:28 PM,679.47,4:21:16 PM,681.27
7,SIMPANG TEGAL BINANGUN,5:42:10 AM,,23.5,34,13,0.32,5:41:56 AM,41.93,5:41:41 AM,41.68,5:42:36 AM,42.59,,7,SIMPANG TEGAL BINANGUN, 07:18:10,,22.9,41.8,9.2,0.32,7:16:55 AM,136.92,7:16:33 AM,136.54,7:18:10 AM,138.17,,7,SIMPANG TEGAL BINANGUN, 08:47:03,,23.0,40.3,7.9,0.32,8:46:50 AM,226.83,8:46:29 AM,226.48,8:48:26 AM,228.43,,7,SIMPANG TEGAL BINANGUN,10:13:21 AM,,24.9,40.2,10.1,0.32,10:12:36 AM,312.60,10:12:19 AM,312.31,10:13:44 AM,313.73,,7,SIMPANG TEGAL BINANGUN,11:45:20 AM,,30.9,40,20.5,0.37,11:45:04 AM,405.07,11:44:54 AM,404.91,11:45:26 AM,405.43,,7,SIMPANG TEGAL BINANGUN,1:26:38 PM,,20.1,30.2,10.2,0.34,1:26:24 PM,506.40,1:26:04 PM,506.06,1:27:23 PM,507.38,,,7,SIMPANG TEGAL BINANGUN,2:53:33 PM,,24.6,39,9.1,0.3,2:53:03 PM,593.05,2:52:47 PM,592.78,2:54:18 PM,594.29,,7,SIMPANG TEGAL BINANGUN,4:22:33 PM,,17.8,29.3,7.1,0.35,4:21:41 PM,681.68,4:21:13 PM,681.22,4:23:27 PM,683.46
