,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ritasi ke - 1,,,,,,,,,,,,,,,Ritasi ke - 2,,,,,,,,,,,,,,,Ritasi ke - 3,,,,,,,,,,,,,,,Ritasi ke - 4,,,,,,,,,,,,,,,Ritasi ke - 5,,,,,,,,,,,,,,,Ritasi ke - 6,,,,,,,,,,,,,,,Ritasi ke - 7,,,,,,,,,,,,,,,Ritasi ke - 8,,,,,,,,,,,,
No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min
,TERMINAL JAKABARING,6:33:35 AM,6:33:35 AM,,,,,,,,,,,,,TERMINAL JAKABARING,8:10:53 AM,8:10:53 AM,,,,,,,,,,,,,TERMINAL JAKABARING,9:44:10 AM,9:44:10 AM,,,,,,,,,,,,,TERMINAL JAKABARING,11:16:38 AM,11:16:38 AM,,,,,,,,,,,,,TERMINAL JAKABARING,12:50:00 PM,12:50:00 PM,,,,,,,,,,,,,TERMINAL JAKABARING,2:17:55 PM,2:17:55 PM,,,,,,,,,,,,,TERMINAL JAKABARING,3:47:55 PM,3:47:55 PM,,,,,,,,,,,,,TERMINAL JAKABARING,5:04:20 PM,5:04:20 PM,,,,,,,,,,
1,PLN A,6:39:35 AM,,34.9,45.4,21.5,2.65,6:38:08 AM,98.14,6:37:05 AM,97.09,6:40:59 AM,100.98,,1,PLN A,8:17:50 AM,,26.3,45.4,20.3,2.65,8:16:56 AM,196.93,8:14:23 AM,194.39,8:18:43 AM,198.72,,1,PLN A,9:50:21 AM,,30.1,44.7,13.6,2.65,9:49:27 AM,289.45,9:47:43 AM,287.72,9:55:51 AM,295.86,,1,PLN A,11:21:41 AM,,33.5,46.8,26.5,2.65,11:21:23 AM,381.38,11:20:02 AM,380.03,11:22:38 AM,382.63,,1,PLN A,12:55:30 PM,,30.6,43.6,30,2.84,12:55:34 PM,475.57,12:53:54 PM,473.91,12:55:41 PM,475.68,,1,PLN A,2:23:30 PM,,32.5,45,22,2.84,2:23:10 PM,563.16,2:21:41 PM,561.69,2:25:40 PM,565.66,,1,PLN A,3:53:05 PM,,32.9,45,23,2.84,3:53:06 PM,653.10,3:51:40 PM,651.67,3:55:20 PM,655.33,,1,PLN A,5:10:18 PM,,28.6,40,13,2.84,5:10:17 PM,730.29,5:08:34 PM,728.56,5:17:58 PM,737.97
2,BANK SUMSEL BABEL B,6:41:14 AM,,40.3,47.5,37.9,0.75,6:40:42 AM,100.70,6:40:32 AM,100.53,6:40:46 AM,100.77,,2,BANK SUMSEL BABEL B,8:19:19 AM,,22.3,46.4,16.7,0.75,8:19:51 AM,199.85,8:18:48 AM,198.80,8:20:32 AM,200.53,,2,BANK SUMSEL BABEL B,9:51:21 AM,,41.9,47.2,35.2,0.75,9:51:25 AM,291.42,9:51:18 AM,291.30,9:51:38 AM,291.63,,2,BANK SUMSEL BABEL B,11:23:08 AM,,43.3,46.4,38.2,0.75,11:22:43 AM,382.72,11:22:39 AM,382.65,11:22:52 AM,382.86,,2,BANK SUMSEL BABEL B,12:57:30 PM,,38,44.6,32,0.92,12:56:57 PM,476.95,12:56:44 PM,476.74,12:57:14 PM,477.23,,2,BANK SUMSEL BABEL B,2:25:10 PM,,40.7,45,30,0.92,2:24:51 PM,564.86,2:24:44 PM,564.74,2:25:22 PM,565.37,,2,BANK SUMSEL BABEL B,3:54:40 PM,,40.9,45,37,0.92,3:54:26 PM,654.43,3:54:19 PM,654.32,3:54:36 PM,654.60,,2,BANK SUMSEL BABEL B,5:12:01 PM,,37.6,45,23,0.92,5:11:46 PM,731.77,5:11:32 PM,731.53,5:12:45 PM,732.75
3,GOR JAKABARING,6:43:32 AM,,32.8,43.6,27.1,0.33,6:41:50 AM,101.84,6:41:41 AM,101.69,6:41:58 AM,101.96,,3,GOR JAKABARING,8:20:21 AM,,32.8,47.2,25.8,0.33,8:19:55 AM,199.92,8:19:44 AM,199.74,8:20:05 AM,200.08,,3,GOR JAKABARING,9:52:53 AM,,28.4,41.8,23.5,0.33,9:52:03 AM,292.05,9:51:49 AM,291.82,9:52:12 AM,292.19,,3,GOR JAKABARING,11:23:57 AM,,34.3,40.3,26.4,0.33,11:23:43 AM,383.71,11:23:37 AM,383.62,11:23:53 AM,383.88,,3,GOR JAKABARING,12:58:38 PM,,27.6,39.2,20,0.39,12:58:21 PM,478.35,12:58:06 PM,478.10,12:58:40 PM,478.67,,3,GOR JAKABARING,2:26:05 PM,,28.8,39,27,0.39,2:25:59 PM,565.98,2:25:46 PM,565.76,2:26:02 PM,566.03,,3,GOR JAKABARING,3:55:25 PM,,28.7,40,28,0.39,3:55:29 PM,655.48,3:55:15 PM,655.26,3:55:30 PM,655.50,,3,GOR JAKABARING,5:13:05 PM,,26.5,39,13,0.39,5:12:54 PM,732.90,5:12:37 PM,732.62,5:13:49 PM,733.82
4,STASIUN JAKABARING,6:44:18 AM,,33.4,39.6,23.1,0.34,6:44:09 AM,104.14,6:44:03 AM,104.05,6:44:25 AM,104.42,,4,STASIUN JAKABARING,8:21:07 AM,,32.7,41.4,17.5,0.34,8:20:58 AM,200.97,8:20:51 AM,200.84,8:21:31 AM,201.52,,4,STASIUN JAKABARING,9:53:28 AM,,21.8,40.7,20.9,0.34,9:53:49 AM,293.82,9:53:23 AM,293.38,9:53:52 AM,293.86,,4,STASIUN JAKABARING,11:24:49 AM,,28.0,40.3,14.7,0.34,11:24:41 AM,384.68,11:24:27 AM,384.46,11:25:20 AM,385.34,,4,STASIUN JAKABARING,12:59:35 PM,,26.5,32.8,18,0.35,12:59:26 PM,479.43,12:59:16 PM,479.27,12:59:50 PM,479.83,,4,STASIUN JAKABARING,2:27:03 PM,,31,39,20,0.35,2:26:46 PM,566.76,2:26:37 PM,566.62,2:27:08 PM,567.13,,4,STASIUN JAKABARING,3:56:25 PM,,30,40,21,0.35,3:56:07 PM,656.12,3:55:57 PM,655.95,3:56:25 PM,656.42,,4,STASIUN JAKABARING,5:14:15 PM,,27.6,36,13,0.35,5:13:51 PM,733.84,5:13:40 PM,733.66,5:14:46 PM,734.76
5,DJKA,6:46:29 AM,,36.1,47.2,37.7,1.0,6:45:58 AM,105.96,6:45:34 AM,105.57,6:45:53 AM,105.89,,5,DJKA,8:22:50 AM,,23.6,42.5,31.2,1.0,8:23:40 AM,203.66,8:22:32 AM,202.53,8:23:02 AM,203.04,,5,DJKA,9:55:08 AM,,38.6,47.5,32.6,1.0,9:55:01 AM,295.02,9:54:44 AM,294.73,9:55:18 AM,295.31,,5,DJKA,11:26:23 AM,,45.1,48.6,37.2,1.0,11:26:09 AM,386.15,11:26:03 AM,386.05,11:26:26 AM,386.43,,5,DJKA,1:01:20 PM,,39,45,33,1.05,1:01:12 PM,481.20,1:00:59 PM,480.98,1:01:31 PM,481.52,,5,DJKA,2:28:55 PM,,39,45,27,1.05,2:28:40 PM,568.67,2:28:27 PM,568.45,2:29:26 PM,569.43,,5,DJKA,3:58:13 PM,,38.8,45,35,1.05,3:58:02 PM,658.04,3:57:49 PM,657.82,3:58:13 PM,658.22,,5,DJKA,5:16:10 PM,,37.1,45,26,1.05,5:15:57 PM,735.95,5:15:40 PM,735.67,5:16:43 PM,736.72
6,DEPO DJKA,6:48:27 AM,,31.8,39.6,36.3,0.96,6:48:18 AM,108.29,6:47:56 AM,107.94,6:48:04 AM,108.07,,6,DEPO DJKA,8:24:39 AM,,35.4,48.6,25.4,0.96,8:24:28 AM,204.46,8:24:01 AM,204.02,8:25:06 AM,205.10,,6,DEPO DJKA,9:57:15 AM,,25.9,36.0,24.9,0.96,9:57:21 AM,297.36,9:56:44 AM,296.73,9:57:27 AM,297.45,,6,DEPO DJKA,11:28:34 AM,,29.0,41.0,18.3,0.96,11:28:22 AM,388.37,11:27:47 AM,387.79,11:29:32 AM,389.53,,6,DEPO DJKA,1:03:35 PM,,26.8,40.3,13,1,1:03:34 PM,483.57,1:02:49 PM,482.82,1:06:08 PM,486.13,,6,DEPO DJKA,2:31:45 PM,,22,37,15,1,2:31:39 PM,571.64,2:30:33 PM,570.55,2:32:55 PM,572.92,,6,DEPO DJKA,4:01:05 PM,,21.8,37,15,1,4:00:58 PM,660.97,3:59:51 PM,659.85,4:02:21 PM,662.35,,6,DEPO DJKA,5:19:16 PM,,19.7,38,17,1,5:19:13 PM,739.21,5:17:44 PM,737.74,5:19:48 PM,739.80
7,SIMPANG TEGAL BINANGUN,6:49:13 AM,,21.9,33.0,34.6,0.29,6:49:15 AM,109.24,6:48:59 AM,108.98,6:48:57 AM,108.95,,7,SIMPANG TEGAL BINANGUN,8:25:33 AM,,28.6,45.4,25.8,0.29,8:25:16 AM,205.26,8:25:02 AM,205.03,8:25:19 AM,205.32,,7,SIMPANG TEGAL BINANGUN,9:58:19 AM,,22.2,36.4,20.0,0.29,9:58:02 AM,298.03,9:57:44 AM,297.73,9:58:07 AM,298.12,,7,SIMPANG TEGAL BINANGUN,11:30:01 AM,,16.5,38.2,9.8,0.29,11:29:37 AM,389.62,11:29:01 AM,389.02,11:30:21 AM,390.34,,7,SIMPANG TEGAL BINANGUN,1:04:58 PM,,18.6,34.9,5,0.36,1:04:45 PM,484.74,1:04:12 PM,484.20,1:07:54 PM,487.90,,7,SIMPANG TEGAL BINANGUN,2:32:50 PM,,21.9,38,8,0.36,2:32:44 PM,572.74,2:32:19 PM,572.32,2:34:27 PM,574.45,,7,SIMPANG TEGAL BINANGUN,4:02:10 AM,,22.4,37,5,0.36,4:02:03 PM,662.05,4:01:40 PM,661.66,4:05:24 PM,665.40,,7,SIMPANG TEGAL BINANGUN,5:20:41 PM,,17.1,32,7,0.36,5:20:32 PM,740.53,5:19:56 PM,739.94,5:22:21 PM,742.35
