,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ritasi ke - 1,,,,,,,,,,,,,,,Ritasi ke - 2,,,,,,,,,,,,,,,Ritasi ke - 3,,,,,,,,,,,,,,,Ritasi ke - 4,,,,,,,,,,,,,,,,Ritasi ke - 5,,,,,,,,,,,,,,,Ritasi ke - 6,,,,,,,,,,,,,,,Ritasi ke - 7,,,,,,,,,,,,,,,Ritasi ke - 8,,,,,,,,,,,,
No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min
,TERMINAL JAKABARING,5:48:00 AM,,,,,,,,,,,,,,TERMINAL JAKABARING,7:16:00 AM,7:16:00 AM,,,,,,,,,,,,,TERMINAL JAKABARING,8:48:00 AM,8:48:00 AM,,,,,,,,,,,,,TERMINAL JAKABARING,10:14:00 AM,10:14:00 AM,,,,,,,,,,,,,,TERMINAL JAKABARING,11:45:44 AM,11:45:44 AM,,,,,,,,,,,,,TERMINAL JAKABARING,1:26:00 PM,1:26:00 PM,,,,,,,,,,,,,TERMINAL JAKABARING,2:53:45 PM,2:53:45 PM,,,,,,,,,,,,,TERMINAL JAKABARING,4:15:50 PM,4:15:50 PM,,,,,,,,,,
1,PLN A,5:53:00 AM,,46.1,29,2.5,2.80,5:51:39 AM,51.64,5:53:49 AM,53.81,6:55:12 AM,115.20,,1,PLN A,7:23:00 AM,,44.3,24,2.4,2.8,7:19:48 AM,139.79,7:23:02 AM,143.03,8:26:00 AM,206.00,,1,PLN A,8:53:00 AM,,45.2,42,6,2.8,8:51:43 AM,231.72,8:52:01 AM,232.01,9:15:32 AM,255.54,,1,PLN A,10:19:00 AM,,43.6,30,10,2.8,10:17:51 AM,317.85,10:19:34 AM,319.56,10:30:09 AM,330.15,,,1,PLN A,11:50:37 AM,,30.20,30,7.5,2.8,11:51:18 AM,411.30,11:51:19 AM,411.31,12:08:08 PM,428.13,,1,PLN A,1:30:51 PM,,34.1,34,3,2.81,1:30:57 PM,510.94,1:30:58 PM,510.97,2:20:23 PM,560.39,,1,PLN A,2:58:50 PM,,33.5,33,6,2.8,2:58:46 PM,598.76,2:58:51 PM,598.86,3:21:17 PM,621.29,,1,PLN A,4:21:10 PM,,39.5,38,4,2.8,4:20:05 PM,680.09,4:20:19 PM,680.31,4:57:50 PM,717.83
2,BANK SUMSEL BABEL B,5:55:00 AM,,45.0,41,8.3,0.81,5:54:05 AM,54.08,5:54:11 AM,54.19,5:58:51 AM,58.86,,2,BANK SUMSEL BABEL B,7:25:00 AM,,43.9,35,8.5,0.81,7:24:06 AM,144.11,7:24:23 AM,144.39,7:28:43 AM,148.72,,2,BANK SUMSEL BABEL B,8:55:00 AM,,35.6,27,3,0.81,8:54:22 AM,234.37,8:54:49 AM,234.82,9:09:46 AM,249.76,,2,BANK SUMSEL BABEL B,10:21:00 AM,,44.6,37,12,0.81,10:20:05 AM,320.09,10:20:19 AM,320.32,10:23:11 AM,323.19,,,2,BANK SUMSEL BABEL B,11:52:41 AM,,37,37,8,0.9,11:52:05 AM,412.08,11:52:05 AM,412.08,11:57:22 AM,417.37,,2,BANK SUMSEL BABEL B,1:32:34 PM,,40.9,40,6,0.9,1:32:10 PM,512.17,1:32:13 PM,512.22,1:39:42 PM,519.70,,2,BANK SUMSEL BABEL B,3:00:55 PM,,39.4,37,6,0.9,3:00:12 PM,600.20,3:00:18 PM,600.29,3:08:29 PM,608.48,,2,BANK SUMSEL BABEL B,4:22:50 PM,,45.7,43,3,0.91,4:22:22 PM,682.36,4:22:26 PM,682.43,4:37:43 PM,697.71
3,GOR JAKABARING,5:56:00 AM,,45.9,40,4.9,0.32,5:55:25 AM,55.42,5:55:29 AM,55.48,5:58:55 AM,58.92,,3,GOR JAKABARING,7:26:00 AM,,37.1,27,9.4,0.32,7:25:31 AM,145.52,7:25:43 AM,145.71,7:27:03 AM,147.04,,3,GOR JAKABARING,8:56:00 AM,,39.2,31,14,0.32,8:55:29 AM,235.49,8:55:38 AM,235.63,8:56:22 AM,236.36,,3,GOR JAKABARING,10:22:00 AM,,40,27,11,0.32,10:21:29 AM,321.48,10:21:42 AM,321.70,10:22:49 AM,322.81,,,3,GOR JAKABARING,11:53:23 AM,,31.6,30,12,0.37,11:53:23 AM,413.39,11:53:25 AM,413.42,11:54:36 AM,414.60,,3,GOR JAKABARING,1:33:30 PM,,43.3,35,6,0.37,1:33:05 PM,513.08,1:33:12 PM,513.20,1:36:32 PM,516.53,,3,GOR JAKABARING,3:01:50 PM,,41.5,32,2,0.37,3:01:27 PM,601.45,3:01:36 PM,601.61,3:10:34 PM,610.57,,3,GOR JAKABARING,4:23:48 PM,,43.4,41,2,0.37,4:23:21 PM,683.34,4:23:23 PM,683.38,4:32:05 PM,692.08
4,STASIUN JAKABARING,5:57:00 AM,,38.2,41,8.4,0.26,5:56:25 AM,56.41,5:56:23 AM,56.38,5:57:51 AM,57.86,,4,STASIUN JAKABARING,7:27:00 AM,,39.6,34,7,0.26,7:26:24 AM,146.39,7:26:27 AM,146.45,7:28:14 AM,148.23,,4,STASIUN JAKABARING,8:57:00 AM,,44.6,40,7,0.26,8:56:21 AM,236.35,8:56:24 AM,236.39,8:58:22 AM,238.36,,4,STASIUN JAKABARING,10:23:00 AM,,39.2,27,9,0.26,10:22:24 AM,322.40,10:22:34 AM,322.57,10:23:49 AM,323.81,,,4,STASIUN JAKABARING,11:54:48 AM,,23.8,24,3,0.38,11:54:20 AM,414.34,11:54:21 AM,414.35,12:01:32 PM,421.53,,4,STASIUN JAKABARING,1:34:19 PM,,42.1,25,5,0.35,1:34:00 PM,514.00,1:34:20 PM,514.34,1:37:42 PM,517.70,,4,STASIUN JAKABARING,3:03:05 PM,,40.3,31,6,0.34,3:02:20 PM,602.34,3:02:29 PM,602.48,3:05:29 PM,605.48,,4,STASIUN JAKABARING,4:24:40 PM,,39.5,27,5,0.35,4:24:20 PM,684.33,4:24:34 PM,684.57,4:28:00 PM,688.00
5,DJKA,5:58:00 AM,,47.2,39,6.2,1.02,5:58:18 AM,58.30,5:58:33 AM,58.55,6:06:52 AM,66.87,,5,DJKA,7:29:00 AM,,47.5,41,8.2,1.02,7:28:17 AM,148.29,7:28:30 AM,148.51,7:34:28 AM,154.46,,5,DJKA,9:01:00 AM,,40.3,28,12,1.02,8:58:31 AM,238.52,8:59:11 AM,239.19,9:02:17 AM,242.28,,5,DJKA,10:25:00 AM,,44.6,42,20,1.02,10:24:22 AM,324.37,10:24:27 AM,324.45,10:26:02 AM,326.03,,,5,DJKA,11:56:29 AM,,36.3,35,3,1,11:56:27 AM,416.45,11:56:30 AM,416.49,12:16:14 PM,436.23,,5,DJKA,1:26:22 PM,,34.8,34,5,1,1:36:02 PM,516.04,1:36:04 PM,516.07,1:46:19 PM,526.32,,5,DJKA,3:04:45 PM,,28.8,27,5,1,3:05:10 PM,605.17,3:05:16 PM,605.27,3:15:35 PM,615.58,,5,DJKA,4:26:20 PM,,43.7,39,2,1,4:26:02 PM,686.04,4:26:12 PM,686.19,4:59:58 PM,719.96
6,DEPO DJKA,6:00:00 AM,,43.2,35,3.9,0.92,5:59:17 AM,59.28,5:59:35 AM,59.58,6:12:09 AM,72.15,,6,DEPO DJKA,7:31:00 AM,,38.9,26,5.8,0.92,7:30:25 AM,150.42,7:31:07 AM,151.12,7:38:31 AM,158.52,,6,DEPO DJKA,9:02:00 AM,,25.2,22,5,0.92,9:03:11 AM,243.19,9:03:32 AM,243.53,9:13:16 AM,253.27,,6,DEPO DJKA,10:27:00 AM,,43.2,30,16,0.92,10:26:17 AM,326.28,10:26:51 AM,326.85,10:28:23 AM,328.39,,,6,DEPO DJKA,11:59:11 AM,,29.8,29,4,1,11:58:30 AM,418.50,11:58:33 AM,418.55,12:13:38 PM,433.63,,6,DEPO DJKA,1:38:41 PM,,30.2,27,3,1.02,1:28:24 PM,508.39,1:28:37 PM,508.62,1:48:13 PM,528.22,,6,DEPO DJKA,3:07:08 PM,,31.3,28,4,1,3:06:40 PM,606.67,3:06:52 PM,606.87,3:20:32 PM,620.54,,6,DEPO DJKA,4:29:43 PM,,35.6,29,4,1,4:28:01 PM,688.02,4:28:23 PM,688.38,4:42:07 PM,702.12
7,SIMPANG TEGAL BINANGUN,6:02:00 AM,,36.0,24,6.5,0.36,6:00:36 AM,60.60,6:00:55 AM,60.91,6:03:19 AM,63.32,,7,SIMPANG TEGAL BINANGUN,7:33:00 AM,,31,15,3.6,0.36,7:31:42 AM,151.70,7:32:25 AM,152.41,7:37:00 AM,157.00,,7,SIMPANG TEGAL BINANGUN,9:06:00 AM,,41.4,29,8,0.36,9:02:31 AM,242.52,9:02:45 AM,242.74,9:04:38 AM,244.63,,7,SIMPANG TEGAL BINANGUN,10:29:00 AM,,34.9,19,2,0.36,10:27:37 AM,327.62,10:28:07 AM,328.12,10:36:23 AM,336.39,,,7,SIMPANG TEGAL BINANGUN,12:00:20 PM,,20,20,3,0.32,12:00:09 PM,420.14,12:00:09 PM,420.16,12:06:18 PM,426.29,,7,SIMPANG TEGAL BINANGUN,1:40:52 PM,,31.7,12,4,0.32,1:39:17 PM,519.29,1:40:16 PM,520.27,1:44:01 PM,524.02,,7,SIMPANG TEGAL BINANGUN,3:09:40 PM,,32.7,27,4,0.32,3:07:43 PM,607.72,3:07:50 PM,607.83,3:12:28 PM,612.47,,7,SIMPANG TEGAL BINANGUN,4:31:08 PM,,33.5,15,3,0.32,4:30:17 PM,690.29,4:31:02 PM,691.04,4:36:20 PM,696.34
