,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ritasi ke - 1,,,,,,,,,,,,,,,Ritasi ke - 2,,,,,,,,,,,,,,,Ritasi ke - 3,,,,,,,,,,,,,,,Ritasi ke - 4,,,,,,,,,,,,,,,Ritasi ke - 5,,,,,,,,,,,,,,,Ritasi ke - 6,,,,,,,,,,,,,,,Ritasi ke - 7,,,,,,,,,,,,,,,Ritasi ke - 8,,,,,,,,,,,,
No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min
,TERMINAL JAKABARING,5:41:00 AM,5:41:00 AM,,,,,,,,,,,,,TERMINAL JAKABARING,7:09:00 AM,7:09:00 AM,,,,,,,,,,,,,TERMINAL JAKABARING,8:40:00 AM,8:40:00 AM,,,,,,,,,,,,,TERMINAL JAKABARING,10:06:04 AM,10:06:04 AM,,,,,,,,,,,,,TERMINAL JAKABARING,11:38:30 AM,11:38:30 AM,,,,,,,,,,,,,TERMINAL JAKABARING,1:20:00 PM,1:20:00 PM,,,,,,,,,,,,,TERMINAL JAKABARING,2:46:00 PM,2:46:00 PM,,,,,,,,,,,,,TERMINAL JAKABARING,4:12:00 PM,4:12:00 PM,,,,,,,,,,
1,PLN A,5:46:36 AM,,30,47.9,1.5,2.8,5:46:36 AM,46.60,5:44:30 AM,44.51,7:33:00 AM,153.00,,1,PLN A,7:15:32 AM,,25.9,47.5,1.2,2.8,7:15:29 AM,135.49,7:12:32 AM,132.54,9:29:00 AM,269.00,,1,PLN A,8:45:04 AM,,32.6,47.2,4.6,2.8,8:45:09 AM,225.15,8:43:34 AM,223.56,9:16:31 AM,256.52,,1,PLN A,10:11:00 AM,,33.6,46.1,8.2,2.8,10:11:04 AM,311.07,10:09:43 AM,309.71,10:26:33 AM,326.55,,1,PLN A,11:44:05 AM,,32.1,45.00,6.8,2.80 ,11:43:44 AM,403.73,11:42:14 AM,402.23,12:03:12 PM,423.21,,1,PLN A,1:25:32 PM,,30.5,43.9,5.4,2.81,1:25:32 PM,505.53,1:23:50 PM,503.84,1:51:13 PM,531.22,,1,PLN A,2:41:34 PM,,30.3,45.0,5.0,2.8,2:51:33 PM,591.54,2:49:44 PM,589.73,3:19:36 PM,619.60,,1,PLN A,4:17:54 PM,,28.3,43.1,8.2,2.79,4:17:55 PM,677.92,4:15:53 PM,675.88,4:32:25 PM,692.41
2,BANK SUMSEL BABEL B,5:48:01 AM,,44.9,46.8,9.3,0.81,5:47:41 AM,47.68,5:47:38 AM,47.64,5:51:50 AM,51.83,,2,BANK SUMSEL BABEL B,7:16:58 AM,,42.8,46.4,9.5,0.81,7:16:40 AM,136.67,7:16:35 AM,136.58,7:20:39 AM,140.65,,2,BANK SUMSEL BABEL B,8:46:29 AM,,41.1,46.1,3.9,0.81,8:46:15 AM,226.25,8:46:07 AM,226.12,8:57:32 AM,237.53,,2,BANK SUMSEL BABEL B,10:12:31 AM,,39.8,40.7,10,0.81,10:12:13 AM,312.22,10:12:12 AM,312.19,10:15:52 AM,315.86,,2,BANK SUMSEL BABEL B,11:45:39 AM,,37.9,41.90,8.0,0.95 ,11:45:35 AM,405.59,11:45:27 AM,405.44,11:51:13 AM,411.21,,2,BANK SUMSEL BABEL B,1:26:34 PM,,36,43.2,5.9,0.94,1:27:06 PM,507.10,1:26:50 PM,506.84,1:35:06 PM,515.09,,2,BANK SUMSEL BABEL B,2:53:31 PM,,37.1,44.6,3.4,0.93,2:43:04 PM,583.07,2:42:49 PM,582.82,2:57:59 PM,597.98,,2,BANK SUMSEL BABEL B,4:18:28 PM,,38.5,45.1,6.8,0.94,4:19:22 PM,679.36,4:19:09 PM,679.15,4:26:12 PM,686.19
3,GOR JAKABARING,5:48:29 AM,,39.6,49.3,5.9,0.32,5:48:30 AM,48.50,5:48:24 AM,48.41,5:51:16 AM,51.27,,3,GOR JAKABARING,7:17:45 AM,,31,44.3,5.9,0.32,7:17:35 AM,137.59,7:17:24 AM,137.40,7:20:13 AM,140.22,,3,GOR JAKABARING,8:46:46 AM,,29.5,41.4,5.7,0.32,8:47:08 AM,227.13,8:46:57 AM,226.95,8:49:51 AM,229.85,,3,GOR JAKABARING,10:13:20 AM,,33.4,40.3,3.3,0.32,10:13:05 AM,313.09,10:13:00 AM,312.99,10:18:20 AM,318.33,,3,GOR JAKABARING,11:46:36 AM,,30.4,39.40,4.0,0.34 ,11:46:19 AM,406.32,11:46:10 AM,406.17,11:50:45 AM,410.75,,3,GOR JAKABARING,1:27:52 PM,,27.4,38.5,4.7,0.39,1:27:25 PM,507.42,1:27:10 PM,507.17,1:31:33 PM,511.55,,3,GOR JAKABARING,2:53:59 PM,,23.3,38.2,6.0,0.38,2:54:30 PM,594.50,2:54:07 PM,594.11,2:57:19 PM,597.32,,3,GOR JAKABARING,4:19:49 PM,,28.0,40.6,3.4,0.38,4:19:17 PM,679.28,4:19:02 PM,679.03,4:25:10 PM,685.17
4,STASIUN JAKABARING,5:49:23 AM,,40.9,46.8,7,0.26,5:48:52 AM,48.86,5:48:49 AM,48.82,5:50:43 AM,50.71,,4,STASIUN JAKABARING,7:18:36 AM,,34.3,46.1,6.4,0.26,7:18:12 AM,138.20,7:18:05 AM,138.09,7:20:11 AM,140.19,,4,STASIUN JAKABARING,8:47:39 AM,,32.2,41,7.2,0.26,8:47:15 AM,227.25,8:47:09 AM,227.15,8:48:56 AM,228.93,,4,STASIUN JAKABARING,10:13:03 AM,,35.5,45.4,7.6,0.26,10:13:46 AM,313.77,10:13:41 AM,313.68,10:15:23 AM,315.39,,4,STASIUN JAKABARING,11:47:30 AM,,31.5,42.10,5.8,0.37 ,11:47:18 AM,407.30,11:47:08 AM,407.13,11:50:26 AM,410.43,,4,STASIUN JAKABARING,1:28:44 PM,,27.4,38.9,3.9,0.33,1:28:35 PM,508.59,1:28:23 PM,508.38,1:32:57 PM,512.94,,4,STASIUN JAKABARING,2:54:48 PM,,26.3,38.5,2.9,0.35,2:54:47 PM,594.78,2:54:32 PM,594.53,3:01:13 PM,601.22,,4,STASIUN JAKABARING,4:20:50 PM,,24.6,37.8,2.9,0.34,4:20:39 PM,680.65,4:20:21 PM,680.36,4:26:51 PM,686.85
5,DJKA,5:51:24 AM,,44,48.6,8.4,1.02,5:50:46 AM,50.77,5:50:39 AM,50.64,5:56:40 AM,56.67,,5,DJKA,7:20:32 AM,,41.7,46.8,8.2,1.02,7:20:04 AM,140.07,7:19:54 AM,139.91,7:26:04 AM,146.06,,5,DJKA,8:49:31 AM,,41.9,46.1,7.8,1.02,8:49:07 AM,229.11,8:48:59 AM,228.98,8:55:30 AM,235.50,,5,DJKA,10:14:56 AM,,38.2,43.2,9.8,1.02,10:14:39 AM,314.65,10:14:28 AM,314.47,10:19:18 AM,319.29,,5,DJKA,11:48:16 AM,,38,43.70,6.7,1.04 ,11:49:09 AM,409.14,11:48:56 AM,408.93,11:56:49 AM,416.81,,5,DJKA,1:30:42 PM,,37.8,44.3,3.5,1.07,1:30:26 PM,510.43,1:30:11 PM,510.18,1:47:05 PM,527.08,,5,DJKA,2:57:48 PM,,35.2,47.2,5.0,1.05,2:56:35 PM,596.59,2:56:08 PM,596.13,3:07:24 PM,607.40,,5,DJKA,4:22:48 PM,,35.3,47.2,3.1,1.06,4:22:38 PM,682.64,4:22:11 PM,682.18,4:41:21 PM,701.35
6,DEPO DJKA,5:52:18 AM,,42.7,47.2,3.9,0.92,5:52:42 AM,52.69,5:52:34 AM,52.57,6:05:33 AM,65.55,,6,DEPO DJKA,7:23:05 AM,,28.5,42.5,5.8,0.92,7:22:28 AM,142.47,7:21:50 AM,141.83,7:30:03 AM,150.05,,6,DEPO DJKA,8:51:44 AM,,30,40.7,6.8,0.92,8:51:21 AM,231.36,8:50:52 AM,230.87,8:57:38 AM,237.63,,6,DEPO DJKA,10:17:38 AM,,24.6,37.1,8.2,0.92,10:17:11 AM,317.18,10:16:25 AM,316.42,10:21:40 AM,321.67,,6,DEPO DJKA,11:51:36 AM,,22.9,36.30,6.8,0.98 ,11:50:50 AM,410.83,11:49:53 AM,409.89,11:56:55 AM,416.91,,6,DEPO DJKA,1:34:52 PM,,21.2,35.6,5.3,1.01,1:33:34 PM,513.56,1:32:24 PM,512.40,1:42:08 PM,522.13,,6,DEPO DJKA,3:00:33 PM,,23.3,36.7,4.6,0.98,3:00:19 PM,600.32,2:59:24 PM,599.40,3:10:35 PM,610.58,,6,DEPO DJKA,4:25:40 PM,,22.3,36.1,2.7,0.99,4:25:28 PM,685.46,4:24:27 PM,684.45,4:44:48 PM,704.80
7,SIMPANG TEGAL BINANGUN,5:53:42 AM,,31.6,43.6,8.5,0.36,5:52:59 AM,52.98,5:52:48 AM,52.80,5:54:50 AM,54.84,,7,SIMPANG TEGAL BINANGUN,7:24:23 AM,,19.9,37.8,3.3,0.36,7:24:10 AM,144.17,7:23:39 AM,143.65,7:29:38 AM,149.63,,7,SIMPANG TEGAL BINANGUN,8:52:48 AM,,27.5,40.3,9.5,0.36,8:52:31 AM,232.52,8:52:16 AM,232.27,8:54:00 AM,234.01,,7,SIMPANG TEGAL BINANGUN,10:18:44 AM,,24.9,34.2,5.8,0.36,10:18:30 AM,318.50,10:18:16 AM,318.26,10:21:21 AM,321.36,,7,SIMPANG TEGAL BINANGUN,11:52:35 AM,,21.8,34.70,6.1,0.37 ,11:52:37 AM,412.62,11:52:14 AM,412.24,11:55:14 AM,415.24,,7,SIMPANG TEGAL BINANGUN,1:36:07 PM,,18.6,35.3,6.3,0.34,1:35:58 PM,515.96,1:35:27 PM,515.44,1:38:06 PM,518.10,,7,SIMPANG TEGAL BINANGUN,3:01:04 PM,,22.1,35.6,13.7,0.39,3:01:37 PM,601.61,3:01:12 PM,601.21,3:02:15 PM,602.26,,7,SIMPANG TEGAL BINANGUN,4:27:23 PM,,16.0,30.3,1.6,0.37,4:27:03 PM,687.05,4:26:24 PM,686.40,4:39:33 PM,699.54
