,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ritasi ke - 1,,,,,,,,,,,,,,,Ritasi ke - 2,,,,,,,,,,,,,,,Ritasi ke - 3,,,,,,,,,,,,,,,Ritasi ke - 4,,,,,,,,,,,,,,,Ritasi ke - 5,,,,,,,,,,,,,,,Ritasi ke - 6,,,,,,,,,,,,,,,Ritasi ke - 7,,,,,,,,,,,,,,,Ritasi ke - 8,,,,,,,,,,,,
No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min
,TERMINAL JAKABARING,6:41:07 AM,6:41:07 AM,,,,,,,,,,,,,TERMINAL JAKABARING,8:17:42 AM,8:17:42 AM,,,,,,,,,,,,,TERMINAL JAKABARING,9:50:09 AM,9:50:09 AM,,,,,,,,,,,,,TERMINAL JAKABARING,11:22:56 AM,11:22:56 AM,,,,,,,,,,,,,TERMINAL JAKABARING,12:56:35 PM,12:56:35 PM,,,,-,,,,,,,,,TERMINAL JAKABARING,14:24:40,14:24:40,-,-,-,-,,,,,,,,,TERMINAL JAKABARING,15:53:45,15:53:45,-,-,-,-,,,,,,,,,TERMINAL JAKABARING,5:08:55 PM,5:08:55 PM,-,-,-,-,,,,,,
1,PLN A,6:46:32 AM,6:46:42 AM,43.2,23.4,11,2.8,6:45:00 AM,105.01,6:48:18 AM,108.30,6:56:23 AM,116.39,,1,PLN A,8:24:28 AM,8:24:38 AM,44.6,25.2,5,2.8,8:21:28 AM,201.47,8:24:22 AM,204.37,8:51:18 AM,231.30,,1,PLN A,9:56:31 AM,9:56:41 AM,42,29,10,2.8,9:54:10 AM,294.17,9:55:57 AM,295.94,10:06:57 AM,306.95,,1,PLN A,11:28:40 AM,11:28:50 AM,47.4,24.5,14,2.8,11:26:29 AM,386.48,11:29:47 AM,389.79,11:34:56 AM,394.93,,1,PLN A,1:02:03 PM,,38,32.5,17,2.79,1:00:59 PM,480.99,1:01:44 PM,481.73,1:06:26 PM,486.43,,1,PLN A,14:30:10,,42,34.5,18,2.7,2:28:31 PM,568.52,2:29:22 PM,569.36,2:33:40 PM,573.67,,1,PLN A,15:59:59,,43,32.1,20,2.8,3:57:39 PM,657.66,3:58:59 PM,658.98,4:02:09 PM,662.15,,1,PLN A,5:13:50 PM,,44,36.7,16.3,2.8,5:12:44 PM,732.73,5:13:30 PM,733.49,5:19:13 PM,739.22
2,BANK SUMSEL BABEL B,6:48:02 AM,6:48:12 AM,43.6,32.4,29,0.81,6:47:39 AM,107.65,6:48:02 AM,108.03,6:48:14 AM,108.24,,2,BANK SUMSEL BABEL B,8:26:01 AM,8:26:11 AM,46.1,36.0,28,0.81,8:25:31 AM,205.52,8:25:49 AM,205.82,8:26:12 AM,206.20,,2,BANK SUMSEL BABEL B,9:58:06 AM,9:58:16 AM,46.10,40.70,35,0.81,9:57:34 AM,297.57,9:57:43 AM,297.71,9:57:54 AM,297.91,,2,BANK SUMSEL BABEL B,11:30:06 AM,11:30:16 AM,45.9,28.8,17,0.81,11:29:44 AM,389.73,11:30:21 AM,390.35,11:31:32 AM,391.53,,2,BANK SUMSEL BABEL B,1:03:56 PM,,39,30,21,1.08,1:03:43 PM,483.71,1:04:13 PM,484.21,1:05:08 PM,485.14,,2,BANK SUMSEL BABEL B,14:31:51,,43,33.6,30,0.9,2:31:25 PM,571.42,2:31:46 PM,571.77,2:31:58 PM,571.97,,2,BANK SUMSEL BABEL B,16:01:38,,44,38.9,26,1,4:01:21 PM,661.35,4:01:32 PM,661.53,4:02:17 PM,662.29,,2,BANK SUMSEL BABEL B,5:15:35 PM,,44,40,38,0.9,5:15:04 PM,735.06,5:15:11 PM,735.18,5:15:15 PM,735.25
3,GOR JAKABARING,6:49:01 AM,6:49:11 AM,45.0,39.0,32,0.32,6:48:28 AM,108.46,6:48:32 AM,108.53,6:48:38 AM,108.63,,3,GOR JAKABARING,8:27:03 AM,8:27:13 AM,39.6,30.3,28,0.32,8:26:30 AM,206.50,8:26:39 AM,206.65,8:26:42 AM,206.70,,3,GOR JAKABARING,9:58:56 AM,9:59:06 AM,42.10,30.80,24,0.32,9:58:33 AM,298.56,9:58:43 AM,298.72,9:58:54 AM,298.90,,3,GOR JAKABARING,11:31:07 AM,11:31:17 AM,48.1,25.3,15,0.32,11:30:30 AM,390.50,11:30:52 AM,390.86,11:31:23 AM,391.38,,3,GOR JAKABARING,1:05:02 PM,,40,25,20,0.59,1:04:49 PM,484.82,1:05:21 PM,485.35,1:05:42 PM,485.70,,3,GOR JAKABARING,14:32:40,,38,35.1,27,0.4,2:32:29 PM,572.48,2:32:32 PM,572.53,2:32:44 PM,572.74,,3,GOR JAKABARING,16:02:40,,39,21,25,0.6,4:02:33 PM,662.56,4:03:21 PM,663.35,4:03:04 PM,663.07,,3,GOR JAKABARING,5:16:30 PM,,35,30,38,0.37,5:16:13 PM,736.22,5:16:19 PM,736.32,5:16:10 PM,736.17
4,STASIUN JAKABARING,6:50:01 AM,6:50:11 AM,40.7,31.3,20,0.26,6:49:24 AM,109.40,6:49:31 AM,109.52,6:49:48 AM,109.80,,4,STASIUN JAKABARING,8:27:52 AM,8:28:02 AM,41.8,32.6,23,0.26,8:27:25 AM,207.42,8:27:32 AM,207.53,8:27:44 AM,207.73,,4,STASIUN JAKABARING,9:59:52 AM,10:00:02 AM,37.10,28.20,22,0.26,9:59:21 AM,299.35,9:59:29 AM,299.49,9:59:39 AM,299.64,,4,STASIUN JAKABARING,11:32:01 AM,11:32:11 AM,44.8,29.3,19,0.26,11:31:28 AM,391.46,11:31:39 AM,391.65,11:31:56 AM,391.94,,4,STASIUN JAKABARING,1:06:00 PM,,39,30,26,0.47,1:05:45 PM,485.76,1:05:58 PM,485.97,1:06:07 PM,486.12,,4,STASIUN JAKABARING,14:33:54,,38,30.3,31,0.35,2:33:13 PM,573.22,2:33:22 PM,573.36,2:33:21 PM,573.34,,4,STASIUN JAKABARING,16:03:35,,35,31,26,0.47,4:03:28 PM,663.47,4:03:35 PM,663.58,4:03:45 PM,663.75,,4,STASIUN JAKABARING,5:17:25 PM,,33,25.6,27,0.35,5:17:08 PM,737.14,5:17:19 PM,737.32,5:17:17 PM,737.28
5,DJKA,6:51:59 AM,6:52:09 AM,36.7,30.2,27,1.02,6:51:41 AM,111.68,6:52:03 AM,112.04,6:52:17 AM,112.28,,5,DJKA,8:29:38 AM,8:29:48 AM,48.2,36.2,26,1.02,8:29:08 AM,209.14,8:29:33 AM,209.56,8:30:13 AM,210.22,,5,DJKA,10:01:40 AM,10:01:50 AM,46.80,40.30,32,1.02,10:01:10 AM,301.17,10:01:23 AM,301.39,10:01:47 AM,301.78,,5,DJKA,11:33:36 AM,11:33:46 AM,45.6,26.7,13,1.02,11:33:22 AM,393.36,11:34:19 AM,394.31,11:36:43 AM,396.72,,5,DJKA,1:08:00 PM,,34,20,16,1.22,1:08:09 PM,488.15,1:09:40 PM,489.66,1:10:35 PM,490.58,,5,DJKA,14:35:40,,45,35.9,40,1.1,2:35:22 PM,575.37,2:35:44 PM,575.74,2:35:33 PM,575.55,,5,DJKA,16:05:20,,45,40.1,30,1.24,4:05:14 PM,665.24,4:05:26 PM,665.44,4:06:04 PM,666.06,,5,DJKA,5:19:17 PM,,46,38.5,20,1,5:18:43 PM,738.72,5:18:59 PM,738.98,5:20:25 PM,740.42
6,DEPO DJKA,6:53:48 AM,6:53:58 AM,44.3,38.7,30,0.92,6:53:14 AM,113.23,6:53:25 AM,113.41,6:53:49 AM,113.82,,6,DEPO DJKA,8:32:01 AM,8:32:11 AM,40,27.8,15,0.92,8:31:01 AM,211.01,8:31:37 AM,211.62,8:33:19 AM,213.31,,6,DEPO DJKA,10:04:19 AM,10:04:29 AM,40.00,27.70,17,0.92,10:03:03 AM,303.05,10:03:40 AM,303.66,10:04:55 AM,304.91,,6,DEPO DJKA,11:36:18 AM,11:36:28 AM,46.1,24.2,10,0.92,11:34:48 AM,394.80,11:35:53 AM,395.88,11:39:07 AM,399.12,,6,DEPO DJKA,1:10:19 PM,,35,23.5,6,1.1,1:09:53 PM,489.89,1:10:49 PM,490.81,1:19:00 PM,499.00,,6,DEPO DJKA,14:38:00,,37,30.5,10,1.2,2:37:37 PM,577.61,2:38:02 PM,578.03,2:42:52 PM,582.87,,6,DEPO DJKA,16:08:09,,38,21.6,6,1.16,4:07:10 PM,667.16,4:08:33 PM,668.56,4:16:56 PM,676.93,,6,DEPO DJKA,5:22:10 PM,,40,22.2,37,1,5:20:47 PM,740.78,5:21:59 PM,741.99,5:20:54 PM,740.90
7,SIMPANG TEGAL BINANGUN,6:55:53 AM,6:56:03 AM,38.2,27.3,17,0.36,6:54:22 AM,114.37,6:54:35 AM,114.59,6:55:04 AM,115.07,,7,SIMPANG TEGAL BINANGUN,8:33:05 AM,8:33:15 AM,38.9,24.1,14,0.36,8:32:34 AM,212.57,8:32:55 AM,212.91,8:33:34 AM,213.56,,7,SIMPANG TEGAL BINANGUN,10:05:43 AM,10:05:53 AM,32.00,17.50,7,0.36,10:05:00 AM,304.99,10:05:33 AM,305.55,10:07:24 AM,307.40,,7,SIMPANG TEGAL BINANGUN,11:37:31 AM,11:37:41 AM,33.8,26.6,10,0.36,11:36:56 AM,396.94,11:37:07 AM,397.11,11:38:28 AM,398.46,,7,SIMPANG TEGAL BINANGUN,1:11:57 PM,,38,26.9,23,0.4,1:10:57 PM,490.95,1:11:13 PM,491.21,1:11:22 PM,491.36,,7,SIMPANG TEGAL BINANGUN,14:39:41,,34,28.6,9,0.33,2:38:35 PM,578.58,2:38:42 PM,578.69,2:40:12 PM,580.20,,7,SIMPANG TEGAL BINANGUN,16:10:01,,31,17.9,7.9,0.44,4:09:00 PM,669.00,4:09:37 PM,669.62,4:11:30 PM,671.49,,7,SIMPANG TEGAL BINANGUN,5:23:50 PM,,34,20,3,0.32,5:22:44 PM,742.73,5:23:08 PM,743.13,5:28:34 PM,748.57
