,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,LORONG KARANG ANYAR,6:57:34 AM,6:57:44 AM,34.2,22.9,14,1.74,6:58:56 AM,118.94,7:00:27 AM,120.44,7:03:20 AM,123.34,,8,LORONG KARANG ANYAR,8:36:40 AM,8:36:50 AM,39.2,29.4,19,1.74,8:35:45 AM,215.75,8:36:38 AM,216.63,8:38:35 AM,218.58,,8,LORONG KARANG ANYAR,10:09:36 AM,10:09:46 AM,34.70,21.30,17,1.74,10:08:44 AM,308.73,10:10:37 AM,310.62,10:11:51 AM,311.86,,8,LORONG KARANG ANYAR,11:41:34 AM,11:41:44 AM,47.2,27.3,15,1.74,11:39:44 AM,399.73,11:41:20 AM,401.34,11:44:29 AM,404.48,,8,LORONG KARANG ANYAR,1:15:19 PM,,31,30,6,1.78,1:15:24 PM,495.40,1:15:31 PM,495.51,1:29:45 PM,509.75,,8,LORONG KARANG ANYAR,14:43:00,,39,32.3,10,1.81,2:42:28 PM,582.47,2:43:03 PM,583.05,2:50:33 PM,590.54,,8,LORONG KARANG ANYAR,16:15:25,,32,21.3,6,1.78,4:13:21 PM,673.35,4:15:02 PM,675.03,4:27:49 PM,687.82,,8,LORONG KARANG ANYAR,5:28:15 PM,,35,27,6,1.8,5:26:55 PM,746.92,5:27:50 PM,747.83,5:41:50 PM,761.83
9,PUSKESMAS TEGAL BINANGUN,7:00:02 AM,7:00:12 AM,35.6,30.4,23,1.15,6:59:30 AM,119.50,6:59:50 AM,119.84,7:00:34 AM,120.57,,9,PUSKESMAS TEGAL BINANGUN,8:40:21 AM,8:40:31 AM,31.7,19.4,2,1.15,8:38:51 AM,218.84,8:40:13 AM,220.22,9:11:10 AM,251.17,,9,PUSKESMAS TEGAL BINANGUN,10:13:05 AM,10:13:15 AM,35.60,19.50,15,1.15,10:11:32 AM,311.54,10:13:08 AM,313.14,10:14:12 AM,314.20,,9,PUSKESMAS TEGAL BINANGUN,11:44:46 AM,11:44:56 AM,43.6,25.7,14,1.15,11:43:09 AM,403.15,11:44:15 AM,404.25,11:46:30 AM,406.50,,9,PUSKESMAS TEGAL BINANGUN,1:18:14 PM,,32,31.1,12,1.11,1:17:24 PM,497.40,1:17:27 PM,497.46,1:20:52 PM,500.87,,9,PUSKESMAS TEGAL BINANGUN,14:46:18,,34,20.5,9,1.21,2:45:08 PM,585.14,2:46:32 PM,586.54,2:51:04 PM,591.07,,9,PUSKESMAS TEGAL BINANGUN,4:19:00 PM,,28,21.6,11,1.1,4:17:46 PM,677.77,4:18:28 PM,678.47,4:21:25 PM,681.42,,9,PUSKESMAS TEGAL BINANGUN,5:31:50 PM,,31,21.2,7,1.2,5:30:34 PM,750.57,5:31:39 PM,751.65,5:38:32 PM,758.54
10,SIMPANG PASAR TEGAL BINANGUN,7:03:23 AM,7:03:33 AM,27.0,21.5,8,0.93,7:02:06 AM,122.10,7:02:38 AM,122.63,7:07:01 AM,127.01,,10,SIMPANG PASAR TEGAL BINANGUN,8:43:54 AM,8:44:04 AM,30.6,18.9,4,0.93,8:42:10 AM,222.17,8:43:18 AM,223.30,8:54:18 AM,234.30,,10,SIMPANG PASAR TEGAL BINANGUN,10:15:55 AM,10:16:05 AM,35.90,15.40,11,0.93,10:14:38 AM,314.64,10:16:42 AM,316.71,10:18:09 AM,318.16,,10,SIMPANG PASAR TEGAL BINANGUN,11:47:49 AM,11:47:59 AM,34.9,21.5,16,0.93,11:46:22 AM,406.37,11:47:22 AM,407.36,11:48:15 AM,408.25,,10,SIMPANG PASAR TEGAL BINANGUN,1:21:40 PM,,32,23,3,0.93,1:19:59 PM,499.98,1:20:40 PM,500.66,1:36:50 PM,516.83,,10,SIMPANG PASAR TEGAL BINANGUN,14:50:00,,32,20,11,0.83,2:47:51 PM,587.86,2:48:47 PM,588.79,2:50:50 PM,590.83,,10,SIMPANG PASAR TEGAL BINANGUN,4:22:00 PM,,31,21.2,6,1,4:20:56 PM,680.94,4:21:50 PM,681.83,4:29:00 PM,689.00,,10,SIMPANG PASAR TEGAL BINANGUN,5:34:44 PM,,28,20.3,7,0.85,5:33:39 PM,753.65,5:34:21 PM,754.35,5:39:07 PM,759.12
11,TERMINAL PLAJU,7:07:01 AM,7:07:11 AM,25.3,19.3,4,1.33,7:06:32 AM,126.54,7:07:31 AM,127.52,7:23:20 AM,143.33,,11,TERMINAL PLAJU,8:49:01 AM,8:49:11 AM,40,19.6,18,1.33,8:45:54 AM,225.90,8:47:58 AM,227.97,8:48:20 AM,228.33,,11,TERMINAL PLAJU,10:21:16 AM,10:21:26 AM,36.20,16.80,12,1.33,10:18:07 AM,318.12,10:20:40 AM,320.67,10:22:34 AM,322.57,,11,TERMINAL PLAJU,11:52:36 AM,11:52:46 AM,38.5,18.3,12,1.33,11:49:53 AM,409.89,11:52:11 AM,412.18,11:54:28 AM,414.47,,11,TERMINAL PLAJU,1:26:10 PM,,31,27,2,1.35,1:24:17 PM,504.28,1:24:40 PM,504.67,2:02:10 PM,542.17,,11,TERMINAL PLAJU,14:54:00,,34,30.3,7,1.41,2:52:29 PM,592.49,2:52:48 PM,592.79,3:02:05 PM,602.09,,11,TERMINAL PLAJU,4:27:15 PM,,33,17.8,7,1.3,4:24:22 PM,684.36,4:26:23 PM,686.38,4:33:09 PM,693.14,,11,TERMINAL PLAJU,5:40:00 PM,,32,26.6,1,1.4,5:37:22 PM,757.36,5:37:53 PM,757.89,6:58:44 PM,838.73
12,SIMPANG PASAR TEGAL BINANGUN,7:13:00 AM,7:13:10 AM,33.0,14.7,6,1.27,7:09:20 AM,129.33,7:12:12 AM,132.20,7:19:43 AM,139.72,,12,SIMPANG PASAR TEGAL BINANGUN,8:54:03 AM,8:54:13 AM,36,16.7,12,1.27,8:51:08 AM,231.13,8:53:35 AM,233.58,8:55:22 AM,235.37,,12,SIMPANG PASAR TEGAL BINANGUN,10:26:07 AM,10:26:17 AM,41.30,20.30,15,1.27,10:23:07 AM,323.11,10:25:01 AM,325.02,10:26:21 AM,326.35,,12,SIMPANG PASAR TEGAL BINANGUN,11:58:36 AM,11:58:46 AM,31.3,15.0,11,1.27,11:55:02 AM,415.03,11:57:41 AM,417.68,11:59:32 AM,419.53,,12,SIMPANG PASAR TEGAL BINANGUN,1:32:19 PM,,31,25.5,21,1.26,1:28:36 PM,508.61,1:29:08 PM,509.13,1:29:46 PM,509.77,,12,SIMPANG PASAR TEGAL BINANGUN,14:58:40,,34,28.7,10,1.2,2:56:07 PM,596.12,2:56:31 PM,596.51,3:01:12 PM,601.20,,12,SIMPANG PASAR TEGAL BINANGUN,4:31:55 PM,,27,17,6,1.27,4:30:04 PM,690.07,4:31:44 PM,691.73,4:39:57 PM,699.95,,12,SIMPANG PASAR TEGAL BINANGUN,5:44:40 PM,,28,18.8,6,1.3,5:42:47 PM,762.79,5:44:09 PM,764.15,5:53:00 PM,773.00
13,PUSKERSMAS TEGAL BINANGUN,7:17:21 AM,7:17:31 AM,29.7,16.5,7,0.87,7:14:45 AM,134.76,7:16:10 AM,136.16,7:20:27 AM,140.46,,13,PUSKERSMAS TEGAL BINANGUN,8:57:05 AM,8:57:15 AM,33.8,23.2,7,0.87,8:55:36 AM,235.59,8:56:18 AM,236.30,9:01:30 AM,241.51,,13,PUSKERSMAS TEGAL BINANGUN,10:28:55 AM,10:29:05 AM,35.10,19.40,16,0.87,10:27:36 AM,327.60,10:28:48 AM,328.81,10:29:23 AM,329.38,,13,PUSKERSMAS TEGAL BINANGUN,12:01:18 PM,12:01:28 PM,48.0,23.7,16,0.87,11:59:41 AM,419.69,12:00:48 PM,420.80,12:01:52 PM,421.86,,13,PUSKERSMAS TEGAL BINANGUN,1:34:15 PM,,32,26.7,21,0.82,1:33:51 PM,513.85,1:34:10 PM,514.16,1:34:40 PM,514.66,,13,PUSKERSMAS TEGAL BINANGUN,15:02:00,,35,30.5,11,1.01,3:00:24 PM,600.40,3:00:39 PM,600.65,3:04:11 PM,604.18,,13,PUSKERSMAS TEGAL BINANGUN,4:35:11 PM,,32,17.2,7,0.92,4:33:39 PM,693.64,4:35:08 PM,695.13,4:39:48 PM,699.80,,13,PUSKERSMAS TEGAL BINANGUN,5:46:55 PM,,31,27,2,0.92,5:46:27 PM,766.45,5:46:43 PM,766.71,6:12:16 PM,792.27
14,LORONG KARANG ANYAR,7:20:03 AM,7:20:13 AM,36.0,21.5,11,1.22,7:19:23 AM,139.38,7:20:45 AM,140.75,7:24:00 AM,144.00,,14,LORONG KARANG ANYAR,9:00:40 AM,9:00:50 AM,34.2,22.6,4,1.22,8:59:13 AM,239.22,9:00:19 AM,240.32,9:15:23 AM,255.38,,14,LORONG KARANG ANYAR,10:32:28 AM,10:32:38 AM,38.20,18.90,10,1.22,10:30:50 AM,330.83,10:32:47 AM,332.79,10:36:14 AM,336.24,,14,LORONG KARANG ANYAR,12:04:53 PM,12:05:03 PM,40.7,21.7,14,1.22,12:03:06 PM,423.10,12:04:40 PM,424.67,12:06:32 PM,426.53,,14,LORONG KARANG ANYAR,1:38:10 PM,,32,24.5,16,1.27,1:36:38 PM,516.63,1:37:22 PM,517.36,1:39:01 PM,519.01,,14,LORONG KARANG ANYAR,15:05:37,,33,29.3,8,1.25,3:04:16 PM,604.27,3:04:34 PM,604.56,3:11:23 PM,611.38,,14,LORONG KARANG ANYAR,4:38:45 PM,,32,22.9,6,1.15,4:37:20 PM,697.34,4:38:12 PM,698.20,4:46:41 PM,706.68,,14,LORONG KARANG ANYAR,5:50:50 PM,,31,22.5,11,1.2,5:49:14 PM,769.24,5:50:07 PM,770.12,5:53:28 PM,773.46
15,SIMPANG TEGAL BINANGUN,7:24:01 AM,7:24:11 AM,39.0,23.1,12,1.71,7:22:41 AM,142.68,7:24:29 AM,144.49,7:28:36 AM,148.60,,15,SIMPANG TEGAL BINANGUN,9:04:47 AM,9:04:57 AM,38.9,29.4,10,1.71,9:03:18 AM,243.30,9:04:09 AM,244.16,9:10:56 AM,250.93,,15,SIMPANG TEGAL BINANGUN,10:37:19 AM,10:37:29 AM,42.70,26.80,22,1.71,10:34:52 AM,334.87,10:36:18 AM,336.30,10:37:08 AM,337.13,,15,SIMPANG TEGAL BINANGUN,12:08:47 PM,12:08:57 PM,40.0,29.3,17,1.71,12:07:27 PM,427.45,12:08:23 PM,428.39,12:10:55 PM,430.92,,15,SIMPANG TEGAL BINANGUN,1:42:10 PM,,39,30.1,5,2.18,1:41:31 PM,521.52,1:42:31 PM,522.51,2:04:20 PM,544.33,,15,SIMPANG TEGAL BINANGUN,15:09:30,,40,27.8,16,1.7,3:08:10 PM,608.17,3:09:17 PM,609.29,3:12:00 PM,611.99,,15,SIMPANG TEGAL BINANGUN,4:42:40 PM,,35,29,7,2,4:42:11 PM,702.18,4:42:53 PM,702.89,4:55:54 PM,715.89,,15,SIMPANG TEGAL BINANGUN,5:54:59 PM,,34,25,23,1.77,5:53:57 PM,773.96,5:55:05 PM,775.08,5:55:27 PM,775.45
16,DEPO DJKA,7:25:37 AM,7:25:47 AM,35.0,19.5,8,0.36,7:24:38 AM,144.63,7:25:07 AM,145.12,7:26:43 AM,146.72,,16,DEPO DJKA,9:05:49 AM,9:05:59 AM,42.1,24.8,9,0.36,9:05:18 AM,245.30,9:05:39 AM,245.65,9:07:11 AM,247.18,,16,DEPO DJKA,10:38:25 AM,10:38:35 AM,38.20,22.70,18,0.36,10:37:53 AM,337.88,10:38:16 AM,338.27,10:38:31 AM,338.52,,16,DEPO DJKA,12:10:05 PM,12:10:15 PM,49.0,25.7,9,0.36,12:09:13 PM,429.22,12:09:37 PM,429.62,12:11:11 PM,431.18,,16,DEPO DJKA,1:44:03 PM,,36,23.9,6,0.28,1:42:38 PM,522.63,1:42:52 PM,522.87,1:44:58 PM,524.97,,16,DEPO DJKA,15:11:49,,36,30.3,13,0.35,3:10:05 PM,610.08,3:10:12 PM,610.19,3:11:07 PM,611.12,,16,DEPO DJKA,4:45:15 PM,,21,17,5,0.34,4:43:38 PM,703.64,4:43:52 PM,703.87,4:46:45 PM,706.75,,16,DEPO DJKA,5:57:00 PM,,20,19,6,0.35,5:56:02 PM,776.03,5:56:05 PM,776.09,5:58:29 PM,778.48
17,OPI MALL,7:26:52 AM,7:27:02 AM,34.6,21.0,12,0.53,7:26:32 AM,146.54,7:27:08 AM,147.13,7:28:16 AM,148.27,,17,OPI MALL,9:06:31 AM,9:06:41 AM,43.2,23.9,3,0.53,9:06:33 AM,246.55,9:07:09 AM,247.15,9:16:25 AM,256.42,,17,OPI MALL,10:39:59 AM,10:40:09 AM,37.40,24.30,19,0.53,10:39:16 AM,339.27,10:39:44 AM,339.73,10:40:05 AM,340.09,,17,OPI MALL,12:11:03 PM,12:11:13 PM,43.4,25.2,8,0.53,12:10:49 PM,430.82,12:11:21 PM,431.35,12:14:04 PM,434.06,,17,OPI MALL,1:45:29 PM,,34,27.3,20,1.43,1:46:34 PM,526.57,1:47:12 PM,527.19,1:48:20 PM,528.34,,17,OPI MALL,15:13:10,,36,24.5,17,0.53,3:12:42 PM,612.70,3:13:07 PM,613.11,3:13:41 PM,613.69,,17,OPI MALL,4:46:26 PM,,41,22.9,21,0.5,4:45:59 PM,705.98,4:46:34 PM,706.56,4:46:41 PM,706.68,,17,OPI MALL,5:58:20 PM,,35,24.7,20,0.52,5:57:53 PM,777.89,5:58:16 PM,778.26,5:58:34 PM,778.56
18,DJKA,7:27:55 AM,7:28:05 AM,39.0,25.0,17,0.43,7:27:32 AM,147.53,7:27:54 AM,147.90,7:28:23 AM,148.38,,18,DJKA,9:07:23 AM,9:07:33 AM,40,27.7,17,0.43,9:07:10 AM,247.16,9:07:27 AM,247.45,9:08:02 AM,248.03,,18,DJKA,10:41:33 AM,10:41:43 AM,40.20,26.80,23,0.43,10:40:38 AM,340.63,10:40:57 AM,340.95,10:41:06 AM,341.11,,18,DJKA,12:12:43 PM,12:12:53 PM,42.7,21.5,6,0.43,12:11:39 PM,431.65,12:12:15 PM,432.25,12:15:21 PM,435.35,,18,DJKA,1:46:43 PM,,39,33.1,21,0.42,1:46:08 PM,526.13,1:46:15 PM,526.24,1:46:41 PM,526.68,,18,DJKA,15:14:15,,39,30.1,20,0.44,3:13:51 PM,613.84,3:14:03 PM,614.04,3:14:29 PM,614.49,,18,DJKA,4:47:30 PM,,35,29,30,0.4,4:47:07 PM,707.12,4:47:16 PM,707.26,4:47:14 PM,707.23,,18,DJKA,5:59:18 PM,,40,40,33,0.43,5:58:59 PM,778.98,5:58:59 PM,778.98,5:59:07 PM,779.12
19,STASIUN JAKABARING,7:29:59 AM,7:30:09 AM,41.3,24.5,16,1.03,7:29:25 AM,149.41,7:30:26 AM,150.44,7:31:47 AM,151.78,,19,STASIUN JAKABARING,9:09:12 AM,9:09:22 AM,43.2,37.2,35,1.03,9:08:49 AM,248.81,9:09:03 AM,249.04,9:09:09 AM,249.15,,19,STASIUN JAKABARING,10:42:57 AM,10:43:07 AM,39.20,31.30,27,1.03,10:43:08 AM,343.13,10:43:31 AM,343.52,10:43:50 AM,343.84,,19,STASIUN JAKABARING,12:14:40 PM,12:14:50 PM,40.4,21.4,15,1.03,12:14:15 PM,434.25,12:15:36 PM,435.60,12:16:50 PM,436.84,,19,STASIUN JAKABARING,1:48:40 PM,,42,34.5,18,1.3,1:48:34 PM,528.57,1:48:59 PM,528.98,1:51:03 PM,531.05,,19,STASIUN JAKABARING,15:16:30,,40,36.1,18,1.08,3:15:52 PM,615.87,3:16:03 PM,616.05,3:17:51 PM,617.85,,19,STASIUN JAKABARING,4:49:20 PM,,44,17,35,0.98,4:48:50 PM,708.84,4:50:58 PM,710.96,4:49:11 PM,709.18,,19,STASIUN JAKABARING,6:00:59 PM,,42,36,36,1,6:00:44 PM,780.73,6:00:58 PM,780.97,6:00:58 PM,780.97
