,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ritasi ke - 1,,,,,,,,,,,,,,,Ritasi ke - 2,,,,,,,,,,,,,,,Ritasi ke - 3,,,,,,,,,,,,,,,Ritasi ke - 4,,,,,,,,,,,,,,,Ritasi ke - 5,,,,,,,,,,,,,,,Ritasi ke - 6,,,,,,,,,,,,,,,Ritasi ke - 7,,,,,,,,,,,,,,,Ritasi ke - 8,,,,,,,,,,,,
No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min
,TERMINAL JAKABARING,6:27:47 AM,6:27:47 AM,,,,,,,,,,,,,TERMINAL JAKABARING,8:05:17 AM,8:05:17 AM,,,,,,,,,,,,,TERMINAL JAKABARING,9:36:13 AM,9:36:13 AM,,,,,,,,,,,,,TERMINAL JAKABARING,11:09:42 AM,11:09:42 AM,,,,,,,,,,,,,TERMINAL JAKABARING,12:43:20 PM,12:43:20 PM,,,,,,,,,,,,,TERMINAL JAKABARING,2:11:11 PM,2:11:11 PM,,,,,,,,,,,,,TERMINAL JAKABARING,3:40:20 PM,3:40:20 PM,,,,,,,,,,,,,TERMINAL JAKABARING,4:57:41 PM,4:57:41 PM,,,,,,,,,,
1,PLN A,6:34:40 AM,,34.4,44.3,20.4,2.75,6:32:35 AM,92.58,6:31:30 AM,91.51,6:35:52 AM,95.87,,1,PLN A,8:11:24 AM,,35,26.5,19,2.75,8:10:00 AM,190.00,8:11:31 AM,191.51,8:13:58 AM,193.97,,1,PLN A,9:41:57 AM,,29.26,43.6,12.5,2.75,9:41:51 AM,281.86,9:40:00 AM,280.00,9:49:25 AM,289.42,,1,PLN A,11:14:44 AM,,40.7,45.2,35.4,2.75,11:13:45 AM,373.75,11:13:21 AM,373.35,11:14:22 AM,374.36,,1,PLN A,12:49:35 PM,,26.4,43,18,2.8,12:49:42 PM,469.70,12:47:13 PM,467.22,12:52:56 PM,472.93,,1,PLN A,2:17:39 PM,,27.3,40,18,2.8,2:17:20 PM,557.34,2:15:21 PM,555.35,2:20:47 PM,560.78,,1,PLN A,3:45:30 PM,,32.6,44,22,2.8,3:45:29 PM,645.49,3:44:12 PM,644.20,3:48:09 PM,648.15,,1,PLN A,5:03:50 PM,,28.6,40,10,2.8,5:03:33 PM,723.56,5:01:54 PM,721.90,5:14:19 PM,734.32
2,BANK SUMSEL BABEL B,6:35:20 AM,,39.3,46.4,36.8,0.74,6:35:48 AM,95.80,6:35:37 AM,95.62,6:35:52 AM,95.87,,2,BANK SUMSEL BABEL B,8:12:59 AM,,40,45,34,0.74,8:12:31 AM,192.51,8:12:23 AM,192.39,8:12:42 AM,192.71,,2,BANK SUMSEL BABEL B,9:43:32 AM,,41.47,46.1,38,0.74,9:43:01 AM,283.02,9:42:55 AM,282.91,9:43:07 AM,283.12,,2,BANK SUMSEL BABEL B,11:16:23 AM,,38.92,46,31.8,0.74,11:15:52 AM,375.87,11:15:42 AM,375.70,11:16:08 AM,376.13,,2,BANK SUMSEL BABEL B,12:51:23 PM,,35.4,46,25,0.9,12:51:07 PM,471.11,12:50:45 PM,470.75,12:51:43 PM,471.71,,2,BANK SUMSEL BABEL B,2:19:34 PM,,36,40,26,0.9,2:19:09 PM,559.15,2:18:59 PM,558.99,2:19:44 PM,559.73,,2,BANK SUMSEL BABEL B,3:47:05 PM,,41.2,44,36,0.9,3:46:49 PM,646.81,3:46:43 PM,646.72,3:47:00 PM,646.99,,2,BANK SUMSEL BABEL B,5:05:31 PM,,37.7,42,21,0.9,5:05:16 PM,725.27,5:05:08 PM,725.13,5:06:27 PM,726.45
3,GOR JAKABARING,6:37:21 AM,,31.8,42.5,26,0.33,6:35:57 AM,95.96,6:35:48 AM,95.80,6:36:06 AM,96.09,,3,GOR JAKABARING,8:13:53 AM,,30.8,47.2,26.2,0.33,8:13:38 AM,193.63,8:13:24 AM,193.40,8:13:44 AM,193.74,,3,GOR JAKABARING,9:44:29 AM,,27.9,40.7,22.4,0.33,9:44:15 AM,284.24,9:44:01 AM,284.02,9:44:25 AM,284.42,,3,GOR JAKABARING,11:17:22 AM,,38.4,45.5,34.5,0.33,11:16:54 AM,376.90,11:16:49 AM,376.82,11:16:57 AM,376.96,,3,GOR JAKABARING,12:52:30 PM,,26,36,15,0.37,12:52:14 PM,472.24,12:52:00 PM,471.99,12:52:55 PM,472.91,,3,GOR JAKABARING,2:20:39 PM,,26.4,34,19,0.37,2:20:24 PM,560.41,2:20:13 PM,560.22,2:20:44 PM,560.74,,3,GOR JAKABARING,3:47:55 PM,,28.7,39,28,0.37,3:47:51 PM,647.86,3:47:40 PM,647.66,3:47:53 PM,647.88,,3,GOR JAKABARING,5:06:33 PM,,26.4,39,21,0.37,5:06:21 PM,726.36,5:06:05 PM,726.08,5:06:34 PM,726.57
4,STASIUN JAKABARING,6:38:05 AM,,32.9,38.5,23,0.33,6:37:57 AM,97.95,6:37:52 AM,97.86,6:38:13 AM,98.21,,4,STASIUN JAKABARING,8:14:38 AM,,32.8,42.8,23.7,0.33,8:14:29 AM,194.49,8:14:21 AM,194.35,8:14:43 AM,194.72,,4,STASIUN JAKABARING,9:45:16 AM,,21.3,39.6,19.8,0.33,9:45:25 AM,285.41,9:44:59 AM,284.98,9:45:29 AM,285.48,,4,STASIUN JAKABARING,11:18:19 AM,,32.3,41.7,20.6,0.33,11:17:59 AM,377.98,11:17:50 AM,377.84,11:18:20 AM,378.33,,4,STASIUN JAKABARING,12:53:27 PM,,23.9,34,21,0.31,12:53:17 PM,473.28,12:53:03 PM,473.05,12:53:23 PM,473.39,,4,STASIUN JAKABARING,2:21:33 PM,,26.2,36,22,0.31,2:21:22 PM,561.36,2:21:10 PM,561.17,2:21:29 PM,561.49,,4,STASIUN JAKABARING,3:48:55 PM,,30.2,39,22,0.31,3:48:32 PM,648.53,3:48:24 PM,648.40,3:48:47 PM,648.78,,4,STASIUN JAKABARING,5:07:40 PM,,27.6,37,23,0.31,5:07:13 PM,727.22,5:07:03 PM,727.05,5:07:23 PM,727.38
5,DJKA,6:39:46 AM,,35.6,46.1,34.5,1,6:39:46 AM,99.77,6:39:23 AM,99.38,6:39:49 AM,99.82,,5,DJKA,8:16:22 AM,,40.1,54.7,36,1,8:16:08 AM,196.13,8:15:44 AM,195.73,8:16:18 AM,196.30,,5,DJKA,9:46:58 AM,,38.1,46.4,35.6,1,9:46:50 AM,286.84,9:46:34 AM,286.56,9:46:57 AM,286.95,,5,DJKA,11:20:02 AM,,39.6,46,36.7,1,11:19:50 AM,379.83,11:19:37 AM,379.62,11:19:57 AM,379.95,,5,DJKA,12:55:39 PM,,31.3,42,14,1.04,12:55:27 PM,475.44,12:54:56 PM,474.93,12:57:54 PM,477.91,,5,DJKA,2:23:30 PM,,35.4,43,31,1.04,2:23:19 PM,563.31,2:23:00 PM,562.99,2:23:32 PM,563.54,,5,DJKA,3:50:43 PM,,38.7,43,33,1.04,3:50:32 PM,650.53,3:50:22 PM,650.36,3:50:49 PM,650.82,,5,DJKA,5:09:35 PM,,37.1,40,26,1.04,5:09:21 PM,729.35,5:09:13 PM,729.22,5:10:07 PM,730.11
6,DEPO DJKA,6:41:31 AM,,31.3,38.5,26,0.96,6:41:36 AM,101.61,6:41:16 AM,101.26,6:41:59 AM,101.98,,6,DEPO DJKA,8:18:36 AM,,28.5,40.3,22,0.96,8:18:23 AM,198.39,8:17:48 AM,197.80,8:18:59 AM,198.98,,6,DEPO DJKA,9:49:26 AM,,25.4,34.9,23.8,0.96,9:49:14 AM,289.23,9:48:37 AM,288.62,9:49:23 AM,289.39,,6,DEPO DJKA,11:22:23 AM,,27.46,38.1,22.6,0.96,11:22:08 AM,382.13,11:21:33 AM,381.55,11:22:35 AM,382.58,,6,DEPO DJKA,12:58:20 PM,,23.6,37,13,0.97,12:58:07 PM,478.12,12:57:14 PM,477.24,1:00:16 PM,480.27,,6,DEPO DJKA,2:26:29 PM,,21.4,35,10,0.97,2:26:13 PM,566.22,2:25:11 PM,565.18,2:29:12 PM,569.21,,6,DEPO DJKA,3:53:35 PM,,21.6,38,18,0.97,3:53:25 PM,653.41,3:52:15 PM,652.26,3:53:59 PM,653.99,,6,DEPO DJKA,5:12:41 PM,,19.7,27,14,0.97,5:12:32 PM,732.54,5:11:44 PM,731.73,5:13:54 PM,733.89
7,SIMPANG TEGAL BINANGUN,6:43:00 AM,,21.4,32,11,0.29,6:42:20 AM,102.33,6:42:04 AM,102.06,6:43:06 AM,103.10,,7,SIMPANG TEGAL BINANGUN,8:19:39 AM,,22.7,39.2,3,0.29,8:19:22 AM,199.37,8:19:03 AM,199.04,8:24:24 AM,204.40,,7,SIMPANG TEGAL BINANGUN,9:50:35 AM,,21.8,35.3,18.9,0.29,9:50:14 AM,290.23,9:49:56 AM,289.93,9:50:21 AM,290.35,,7,SIMPANG TEGAL BINANGUN,11:23:32 AM,,22.1,36,17.8,0.29,11:23:10 AM,383.17,11:22:52 AM,382.87,11:23:22 AM,383.36,,7,SIMPANG TEGAL BINANGUN,1:00:38 PM,,13.6,33,9,0.34,12:59:50 PM,479.83,12:58:57 PM,478.95,1:00:36 PM,480.60,,7,SIMPANG TEGAL BINANGUN,2:27:47 PM,,18.4,31,13,0.34,2:27:36 PM,567.59,2:27:08 PM,567.14,2:28:07 PM,568.12,,7,SIMPANG TEGAL BINANGUN,3:54:40 PM,,22.7,37,15,0.34,3:54:29 PM,654.48,3:54:08 PM,654.13,3:54:59 PM,654.99,,7,SIMPANG TEGAL BINANGUN,5:14:16 PM,,17.1,31,11,0.34,5:13:53 PM,733.88,5:13:20 PM,733.33,5:14:38 PM,734.63
