,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ritasi ke - 1,,,,,,,,,,,,,,,Ritasi ke - 2,,,,,,,,,,,,,,,Ritasi ke - 3,,,,,,,,,,,,,,,Ritasi ke - 4,,,,,,,,,,,,,,,Ritasi ke - 5,,,,,,,,,,,,,,,Ritasi ke - 6,,,,,,,,,,,,,,,Ritasi ke - 7,,,,,,,,,,,,,,,Ritasi ke - 8,,,,,,,,,,,,
No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min
,TERMINAL JAKABARING,6:09:34 AM,6:09:34 AM,,,,,,,,,,,,,TERMINAL JAKABARING,7:44:30 AM,7:44:30 AM,,,,,,,,,,,,,TERMINAL JAKABARING,9:16:30 AM,9:16:30 AM,,,,,,,,,,,,,TERMINAL JAKABARING,10:41:30 AM,10:41:30 AM,,,,,,,,,,,,,TERMINAL JAKABARING,12:18:04 PM,12:18:04 PM,,,,,,,,,,,,,TERMINAL JAKABARING,1:51:49 PM,1:51:49 PM,,,,,,,,,,,,,TERMINAL JAKABARING,3:21:30 PM,3:21:30 PM,,,,,,,,,,,,,TERMINAL JAKABARING,4:40:00 PM,4:40:00 PM,,,,,,,,,,
1,PLN A,6:16:35 AM,,25.8,45.7,3.4,2.83,6:16:09 AM,76.15,6:13:17 AM,73.28,6:59:30 AM,119.51,,1,PLN A,7:51:40 AM,,24.0,36.7,2.5,2.82,7:51:33 AM,171.55,7:49:07 AM,169.11,8:52:11 AM,232.18,,1,PLN A,9:22:12 AM,,27.5,43.2,2.1,2.83,9:22:40 AM,262.67,9:20:26 AM,260.43,10:37:21 AM,337.36,,1,PLN A,10:47:34 AM,,30.6,43.2,2.3,2.84,10:47:04 AM,347.07,10:45:27 AM,345.44,11:55:35 AM,415.59,,1,PLN A,12:23:09 PM,12:23:19 PM,33.0,46.8,9.1,2.75,12:23:04 PM,443.07,12:21:36 PM,441.59,12:36:12 PM,456.20,,1,PLN A,1:56:48 PM,1:56:58 PM,32.2,46.8,11.0,2.92,1:57:15 PM,537.26,1:55:34 PM,535.56,2:07:45 PM,547.74,,1,PLN A,3:26:06 PM,3:26:16 PM,31.4,45.1,11.2,2.60,3:26:28 PM,626.47,3:24:58 PM,624.96,3:35:26 PM,635.43,,1,PLN A,4:45:47 PM,4:45:57 PM,30.7,44.3,10.5,2.80,4:45:28 PM,705.47,4:43:48 PM,703.79,4:56:00 PM,716.00
2,BANK SUMSEL BABEL B,6:17:00 AM,,46.8,54.7,2.1,0.78,6:17:35 AM,77.58,6:17:26 AM,77.44,6:38:52 AM,98.87,,2,BANK SUMSEL BABEL B,7:53:55 AM,,29.7,34.6,3.9,0.78,7:53:15 AM,173.24,7:53:01 AM,173.02,8:03:40 AM,183.67,,2,BANK SUMSEL BABEL B,9:24:05 AM,,32.9,43.2,3.5,0.78,9:23:37 AM,263.62,9:23:17 AM,263.28,9:35:34 AM,275.57,,2,BANK SUMSEL BABEL B,10:49:37 AM,,39.3,46.5,2.8,0.78,10:48:45 AM,348.76,10:48:34 AM,348.57,11:04:17 AM,364.28,,2,BANK SUMSEL BABEL B,12:24:42 PM,12:24:52 PM,39.3,43.2,4.3,0.92,12:24:33 PM,444.55,12:24:26 PM,444.43,12:35:59 PM,455.99,,2,BANK SUMSEL BABEL B,1:58:27 PM,1:58:37 PM,39.3,43.2,4.1,1.08,1:58:27 PM,538.45,1:58:18 PM,538.30,2:12:36 PM,552.60,,2,BANK SUMSEL BABEL B,3:27:46 PM,3:27:56 PM,38.5,43.0,8.4,0.79,3:27:20 PM,627.33,3:27:12 PM,627.20,3:31:45 PM,631.74,,2,BANK SUMSEL BABEL B,4:47:38 PM,4:47:48 PM,38.6,43.6,9.7,0.95,4:47:16 PM,707.26,4:47:05 PM,707.09,4:51:40 PM,711.66
3,GOR JAKABARING,6:18:49 AM,,29.1,50.8,1.0,0.39,6:17:48 AM,77.80,6:17:28 AM,77.46,6:40:24 AM,100.40,,3,GOR JAKABARING,7:54:50 AM,,25.2,35.3,4.1,0.38,7:54:49 AM,174.82,7:54:34 AM,174.56,7:59:29 AM,179.48,,3,GOR JAKABARING,9:25:12 AM,,23.6,39.6,3.1,0.37,9:25:01 AM,265.02,9:24:39 AM,264.64,9:31:15 AM,271.24,,3,GOR JAKABARING,10:50:28 AM,,27.4,35.7,3.3,0.38,10:50:27 AM,350.45,10:50:15 AM,350.26,10:56:32 AM,356.53,,3,GOR JAKABARING,12:25:31 PM,12:25:41 PM,31.2,42.8,6.4,0.39,12:25:27 PM,445.45,12:25:15 PM,445.25,12:28:21 PM,448.36,,3,GOR JAKABARING,1:59:28 PM,1:59:38 PM,31.8,42.8,7.3,0.54,1:59:28 PM,539.47,1:59:12 PM,539.21,2:02:53 PM,542.89,,3,GOR JAKABARING,3:28:39 PM,3:28:49 PM,31.1,41.5,7.1,0.25,3:28:15 PM,628.25,3:28:08 PM,628.13,3:29:53 PM,629.88,,3,GOR JAKABARING,4:48:30 PM,4:48:40 PM,31.7,41.0,8.1,0.40,4:48:23 PM,708.39,4:48:13 PM,708.22,4:50:36 PM,710.60
4,STASIUN JAKABARING,6:19:36 AM,,34.1,42.8,1.2,0.34,6:19:25 AM,79.41,6:19:18 AM,79.29,6:35:49 AM,95.82,,4,STASIUN JAKABARING,7:55:46 AM,,26.4,35.3,2.7,0.35,7:55:38 AM,175.63,7:55:26 AM,175.43,8:02:37 AM,182.61,,4,STASIUN JAKABARING,9:26:18 AM,,23.2,35.6,2.8,0.34,9:26:05 AM,266.08,9:25:46 AM,265.77,9:32:29 AM,272.49,,4,STASIUN JAKABARING,10:51:23 AM,,27.9,37.4,3.2,0.33,10:51:11 AM,351.18,10:51:00 AM,351.00,10:56:39 AM,356.65,,4,STASIUN JAKABARING,12:26:12 PM,12:26:22 PM,28.6,43.9,4.0,0.35,12:26:15 PM,446.25,12:26:00 PM,446.00,12:30:46 PM,450.77,,4,STASIUN JAKABARING,2:00:16 PM,2:00:26 PM,26.3,43.9,6.5,0.44,2:00:28 PM,540.47,2:00:04 PM,540.07,2:03:32 PM,543.53,,4,STASIUN JAKABARING,3:29:30 PM,3:29:40 PM,25.5,41.9,8.5,0.16,3:29:02 PM,629.03,3:28:53 PM,628.88,3:29:47 PM,629.78,,4,STASIUN JAKABARING,4:49:07 PM,4:49:17 PM,23.3,40.7,6.4,0.25,4:49:09 PM,709.14,4:48:52 PM,708.87,4:50:51 PM,710.84
5,DJKA,6:20:38 AM,,39.1,56.5,1.6,1.06,6:21:14 AM,81.23,6:20:44 AM,80.73,6:59:21 AM,119.35,,5,DJKA,7:57:49 AM,,32.3,37.8,3.9,1.04,7:57:42 AM,177.70,7:57:25 AM,177.42,8:11:46 AM,191.77,,5,DJKA,9:28:29 AM,,32.0,43.9,1.7,1.05,9:28:16 AM,268.27,9:27:44 AM,267.74,10:03:22 AM,303.36,,5,DJKA,10:53:27 AM,,34.8,43.8,3.7,1.06,10:53:13 AM,353.21,10:52:50 AM,352.84,11:08:34 AM,368.57,,5,DJKA,12:27:59 PM,12:28:09 PM,39.8,45.0,5.8,1.05,12:27:47 PM,447.78,12:27:36 PM,447.60,12:37:04 PM,457.06,,5,DJKA,2:02:07 PM,2:02:17 PM,38.4,45.0,4.1,1.20,2:02:09 PM,542.14,2:01:52 PM,541.87,2:17:50 PM,557.83,,5,DJKA,3:31:20 PM,3:31:30 PM,37.6,43.7,10.9,0.91,3:30:57 PM,630.95,3:30:45 PM,630.75,3:34:31 PM,634.51,,5,DJKA,4:50:58 PM,4:51:08 PM,36.2,43.2,9.7,1.05,4:50:51 PM,710.86,4:50:35 PM,710.58,4:55:37 PM,715.61
6,DEPO DJKA,6:22:52 AM,,31.3,43.9,1.6,0.97,6:22:30 AM,82.49,6:21:58 AM,81.96,6:57:01 AM,117.01,,6,DEPO DJKA,8:00:07 AM,,28.4,34.6,5.1,1.01,7:59:57 AM,179.95,7:59:34 AM,179.57,8:09:42 AM,189.70,,6,DEPO DJKA,9:30:46 AM,,28.4,37.8,5.2,0.98,9:30:33 AM,270.55,9:30:02 AM,270.04,9:39:47 AM,279.79,,6,DEPO DJKA,10:56:05 AM,,23.7,39.2,2.4,0.96,10:55:53 AM,355.88,10:54:55 AM,354.92,11:17:27 AM,377.45,,6,DEPO DJKA,12:30:28 PM,12:30:38 PM,25.0,42.8,3.9,0.99,12:30:22 PM,450.36,12:29:22 PM,449.37,12:43:13 PM,463.21,,6,DEPO DJKA,2:04:39 PM,2:04:49 PM,20.3,42.8,5.9,1.13,2:05:27 PM,545.46,2:03:42 PM,543.70,2:13:36 PM,553.61,,6,DEPO DJKA,3:35:36 PM,3:35:46 PM,19.4,38.3,3.8,0.80,3:33:48 PM,633.81,3:32:35 PM,632.59,3:43:58 PM,643.96,,6,DEPO DJKA,4:55:01 PM,4:55:11 PM,14.9,34.6,4.5,0.98,4:54:55 PM,714.91,4:52:40 PM,712.67,5:04:02 PM,724.03
7,SIMPANG TEGAL BINANGUN,6:24:07 AM,,21.0,44.6,2.5,0.39,6:23:59 AM,83.98,6:23:23 AM,83.39,6:32:14 AM,92.23,,7,SIMPANG TEGAL BINANGUN,8:01:30 AM,,18.2,31.3,5.2,0.38,8:01:22 AM,181.37,8:00:51 AM,180.85,8:04:30 AM,184.50,,7,SIMPANG TEGAL BINANGUN,9:32:11 AM,,18.9,31.3,6.0,0.37,9:31:56 AM,271.94,9:31:29 AM,271.48,9:34:28 AM,274.47,,7,SIMPANG TEGAL BINANGUN,10:57:23 AM,,19.9,30.3,2.6,0.39,10:57:16 AM,357.26,10:56:51 AM,356.86,11:05:05 AM,365.08,,7,SIMPANG TEGAL BINANGUN,12:31:29 PM,12:31:39 PM,25.3,41.4,4.3,0.37,12:31:21 PM,451.34,12:31:00 PM,451.00,12:35:38 PM,455.63,,7,SIMPANG TEGAL BINANGUN,2:06:36 PM,2:06:46 PM,21.6,41.4,3.5,0.52,2:06:06 PM,546.09,2:05:24 PM,545.40,2:13:34 PM,553.56,,7,SIMPANG TEGAL BINANGUN,3:39:25 PM,3:39:35 PM,20.8,39.0,3.1,0.24,3:36:18 PM,636.29,3:35:58 PM,635.97,3:40:15 PM,640.25,,7,SIMPANG TEGAL BINANGUN,4:56:51 PM,4:57:01 PM,17.2,37.4,4.7,0.39,4:56:23 PM,716.38,4:55:39 PM,715.64,5:00:00 PM,720.00
