,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,LORONG KARANG ANYAR,6:28:39 AM,,29.6,37.4,4.0,1.80,6:27:46 AM,87.77,6:27:00 AM,87.00,6:51:07 AM,111.12,,8,LORONG KARANG ANYAR,8:06:02 AM,,24.2,35.6,3.4,1.76,8:05:52 AM,185.86,8:04:28 AM,184.47,8:32:34 AM,212.56,,8,LORONG KARANG ANYAR,9:36:23 AM,,26.9,40.0,3.6,1.79,9:36:11 AM,276.18,9:34:52 AM,274.87,10:02:01 AM,302.02,,8,LORONG KARANG ANYAR,11:01:45 AM,,25.6,36.5,2.0,1.80,11:01:36 AM,361.60,11:00:21 AM,360.34,11:51:23 AM,411.38,,8,LORONG KARANG ANYAR,12:35:01 PM,12:35:11 PM,31.8,41.4,2.1,1.81,12:34:54 PM,454.90,12:34:06 PM,454.11,1:23:12 PM,503.20,,8,LORONG KARANG ANYAR,2:09:53 PM,2:10:03 PM,30.4,41.4,4.0,1.93,2:10:25 PM,550.41,2:09:24 PM,549.40,2:35:33 PM,575.55,,8,LORONG KARANG ANYAR,3:42:11 PM,3:42:21 PM,29.6,42.2,4.7,1.60,3:42:40 PM,642.66,3:41:41 PM,641.69,3:59:51 PM,659.84,,8,LORONG KARANG ANYAR,5:00:44 PM,5:00:54 PM,28.2,43.9,5.3,1.78,5:00:38 PM,720.64,4:59:17 PM,719.28,5:17:00 PM,737.00
9,PUSKESMAS TEGAL BINANGUN,6:31:39 AM,,25.5,35.3,2.3,1.19,6:31:27 AM,91.45,6:30:40 AM,90.67,6:59:42 AM,119.69,,9,PUSKESMAS TEGAL BINANGUN,8:09:10 AM,,24.0,34.2,3.3,1.21,8:09:04 AM,189.06,8:08:09 AM,188.16,8:28:02 AM,208.03,,9,PUSKESMAS TEGAL BINANGUN,9:39:53 AM,,25.1,49.0,4.1,1.19,9:39:14 AM,279.23,9:37:50 AM,277.84,9:53:48 AM,293.80,,9,PUSKESMAS TEGAL BINANGUN,11:05:01 AM,,23.4,35.6,5.0,1.20,11:04:50 AM,364.83,11:03:46 AM,363.77,11:16:09 AM,376.15,,9,PUSKESMAS TEGAL BINANGUN,12:37:47 PM,12:37:57 PM,27.0,43.9,6.1,1.20,12:37:41 PM,457.68,12:36:39 PM,456.66,12:46:49 PM,466.82,,9,PUSKESMAS TEGAL BINANGUN,2:12:37 PM,2:12:47 PM,26.6,43.9,2.1,1.35,2:12:56 PM,552.93,2:11:44 PM,551.73,2:48:27 PM,588.45,,9,PUSKESMAS TEGAL BINANGUN,3:45:14 PM,3:45:24 PM,25.8,41.5,5.4,1.10,3:44:44 PM,644.74,3:43:46 PM,643.77,3:54:24 PM,654.41,,9,PUSKESMAS TEGAL BINANGUN,5:03:43 PM,5:03:53 PM,25.5,40.0,3.8,1.23,5:03:38 PM,723.63,5:02:35 PM,722.58,5:20:09 PM,740.15
10,SIMPANG PASAR TEGAL BINANGUN,6:34:49 AM,,21.6,37.4,2.6,0.96,6:34:19 AM,94.32,6:33:11 AM,93.19,6:53:48 AM,113.80,,10,SIMPANG PASAR TEGAL BINANGUN,8:11:33 AM,,24.8,32.0,3.6,0.93,8:11:25 AM,191.42,8:10:55 AM,190.91,8:24:40 AM,204.67,,10,SIMPANG PASAR TEGAL BINANGUN,9:42:09 AM,,26.4,38.9,6.0,0.94,9:42:01 AM,282.02,9:41:20 AM,281.33,9:49:17 AM,289.28,,10,SIMPANG PASAR TEGAL BINANGUN,11:07:55 AM,,20.8,37.7,2.4,0.96,11:07:47 AM,367.79,11:06:33 AM,366.54,11:29:01 AM,389.02,,10,SIMPANG PASAR TEGAL BINANGUN,12:40:13 PM,12:40:23 PM,24.1,43.9,5.7,0.94,12:40:07 PM,460.12,12:39:04 PM,459.07,12:47:41 PM,467.68,,10,SIMPANG PASAR TEGAL BINANGUN,2:14:36 PM,2:14:46 PM,26.7,43.9,5.3,1.07,2:15:01 PM,555.02,2:14:05 PM,554.08,2:24:44 PM,564.73,,10,SIMPANG PASAR TEGAL BINANGUN,3:47:10 PM,3:47:20 PM,25.9,44.6,5.1,0.80,3:47:05 PM,647.09,3:46:19 PM,646.31,3:54:39 PM,654.65,,10,SIMPANG PASAR TEGAL BINANGUN,5:05:46 PM,5:05:56 PM,28.6,46.1,3.9,0.92,5:05:39 PM,725.65,5:04:55 PM,724.91,5:17:52 PM,737.87
11,TERMINAL PLAJU,6:38:41 AM,,20.8,32.4,4.1,1.35,6:38:43 AM,98.71,6:37:19 AM,97.32,6:54:34 AM,114.57,,11,TERMINAL PLAJU,8:18:25 AM,,14.7,32.4,4.2,1.36,8:17:06 AM,197.10,8:14:04 AM,194.07,8:30:59 AM,210.98,,11,TERMINAL PLAJU,9:47:16 AM,,18.1,33.1,3.8,1.37,9:46:41 AM,286.69,9:44:38 AM,284.63,10:03:47 AM,303.78,,11,TERMINAL PLAJU,11:12:50 AM,,16.9,30.1,2.5,1.36,11:12:45 AM,372.75,11:10:38 AM,370.63,11:40:33 AM,400.56,,11,TERMINAL PLAJU,12:44:17 PM,12:44:27 PM,20.6,38.2,4.3,1.36,12:44:11 PM,464.18,12:42:21 PM,462.35,12:59:12 PM,479.19,,11,TERMINAL PLAJU,2:19:20 PM,2:19:30 PM,19.4,38.2,2.5,1.50,2:19:14 PM,559.24,2:16:57 PM,556.96,2:50:36 PM,590.60,,11,TERMINAL PLAJU,3:52:00 PM,3:52:10 PM,18.6,37.2,4.5,1.20,3:51:02 PM,651.04,3:49:06 PM,649.10,4:03:10 PM,663.17,,11,TERMINAL PLAJU,5:10:34 PM,5:10:44 PM,17.5,37.1,5.1,1.35,5:10:24 PM,730.40,5:07:57 PM,727.95,5:21:39 PM,741.65
12,SIMPANG PASAR TEGAL BINANGUN,6:41:55 AM,,21.0,35.3,2.0,1.26,6:42:17 AM,102.28,6:40:49 AM,100.82,7:16:29 AM,136.48,,12,SIMPANG PASAR TEGAL BINANGUN,8:24:27 AM,,17.4,34.6,6.0,1.26,8:22:46 AM,202.76,8:20:36 AM,200.60,8:31:01 AM,211.02,,12,SIMPANG PASAR TEGAL BINANGUN,9:52:14 AM,,16.8,31.0,1.5,1.26,9:51:46 AM,291.77,9:49:42 AM,289.71,10:37:40 AM,337.67,,12,SIMPANG PASAR TEGAL BINANGUN,11:18:36 AM,,29.7,39.5,2.7,1.26,11:15:23 AM,375.38,11:14:45 AM,374.75,11:40:50 AM,400.83,,12,SIMPANG PASAR TEGAL BINANGUN,12:49:13 PM,12:49:23 PM,16.5,39.2,3.0,1.31,12:49:03 PM,469.05,12:46:17 PM,466.29,1:10:29 PM,490.48,,12,SIMPANG PASAR TEGAL BINANGUN,2:24:17 PM,2:24:27 PM,17.7,39.2,4.9,1.44,2:24:13 PM,564.21,2:21:32 PM,561.54,2:36:58 PM,576.97,,12,SIMPANG PASAR TEGAL BINANGUN,3:56:32 PM,3:56:42 PM,16.9,36.1,4.0,1.16,3:56:07 PM,656.12,3:53:56 PM,653.93,4:09:24 PM,669.40,,12,SIMPANG PASAR TEGAL BINANGUN,5:15:07 PM,5:15:17 PM,18.1,33.8,5.7,1.30,5:14:53 PM,734.88,5:12:52 PM,732.87,5:24:15 PM,744.25
13,PUSKERSMAS TEGAL BINANGUN,6:44:36 AM,,28.7,52.6,1.7,1.00,6:44:00 AM,104.01,6:43:03 AM,103.06,7:17:13 AM,137.21,,13,PUSKERSMAS TEGAL BINANGUN,8:27:03 AM,,24.8,34.9,2.6,1.00,8:26:52 AM,206.87,8:26:10 AM,206.17,8:47:32 AM,227.53,,13,PUSKERSMAS TEGAL BINANGUN,9:55:06 AM,,20.9,36.4,3.4,1.00,9:55:06 AM,295.10,9:53:53 AM,293.88,10:09:53 AM,309.88,,13,PUSKERSMAS TEGAL BINANGUN,11:21:00 AM,,25.2,37.8,2.5,1.00,11:20:59 AM,380.98,11:20:11 AM,380.19,11:42:36 AM,402.60,,13,PUSKERSMAS TEGAL BINANGUN,12:51:42 PM,12:51:52 PM,22.7,34.2,3.5,0.91,12:51:37 PM,471.62,12:50:49 PM,470.81,1:04:49 PM,484.82,,13,PUSKERSMAS TEGAL BINANGUN,2:26:20 PM,2:26:30 PM,25.6,34.2,6.7,1.04,2:26:43 PM,566.72,2:26:06 PM,566.11,2:33:36 PM,573.60,,13,PUSKERSMAS TEGAL BINANGUN,3:57:29 PM,3:57:39 PM,24.8,38.1,2.4,0.77,3:58:24 PM,658.40,3:57:45 PM,657.75,4:15:47 PM,675.78,,13,PUSKERSMAS TEGAL BINANGUN,5:17:13 PM,5:17:23 PM,27.7,42.8,3.1,0.90,5:17:04 PM,737.07,5:16:23 PM,736.38,5:32:32 PM,752.54
14,LORONG KARANG ANYAR,6:47:06 AM,,24.6,36.7,2.1,1.27,6:47:42 AM,107.70,6:46:41 AM,106.68,7:20:53 AM,140.89,,14,LORONG KARANG ANYAR,8:30:01 AM,,26.1,36.0,3.7,1.27,8:29:58 AM,209.97,8:29:10 AM,209.17,8:47:39 AM,227.64,,14,LORONG KARANG ANYAR,9:58:14 AM,,25.6,37.8,3.1,1.26,9:58:03 AM,298.05,9:57:06 AM,297.10,10:19:29 AM,319.49,,14,LORONG KARANG ANYAR,11:24:11 AM,,25.6,35.6,2.8,1.27,11:23:59 AM,383.98,11:23:08 AM,383.14,11:48:13 AM,408.21,,14,LORONG KARANG ANYAR,12:55:01 PM,12:55:11 PM,24.5,33.1,7.6,1.31,12:54:54 PM,474.91,12:54:04 PM,474.07,1:02:03 PM,482.04,,14,LORONG KARANG ANYAR,2:29:09 PM,2:29:19 PM,24.2,33.1,2.6,1.43,2:29:53 PM,569.88,2:28:56 PM,568.93,2:59:20 PM,599.33,,14,LORONG KARANG ANYAR,4:00:47 PM,4:00:57 PM,23.4,37.7,7.9,1.20,4:00:34 PM,660.56,3:59:24 PM,659.39,4:06:36 PM,666.60,,14,LORONG KARANG ANYAR,5:20:46 PM,5:20:56 PM,23.2,43.2,6.9,1.28,5:20:32 PM,740.53,5:19:00 PM,738.99,5:28:21 PM,748.35
15,SIMPANG TEGAL BINANGUN,6:51:07 AM,,30.1,38.5,1.8,1.76,6:50:36 AM,110.61,6:49:51 AM,109.84,7:45:46 AM,165.77,,15,SIMPANG TEGAL BINANGUN,8:33:43 AM,,31.0,63.4,5.7,1.77,8:33:27 AM,213.44,8:31:42 AM,211.69,8:48:39 AM,228.65,,15,SIMPANG TEGAL BINANGUN,10:02:12 AM,,27.9,35.3,1.6,1.75,10:02:00 AM,302.00,10:01:12 AM,301.21,11:03:52 AM,363.86,,15,SIMPANG TEGAL BINANGUN,11:28:02 AM,,28.4,37.6,3.8,1.75,11:27:53 AM,387.88,11:26:59 AM,386.98,11:51:49 AM,411.81,,15,SIMPANG TEGAL BINANGUN,12:59:00 PM,12:59:10 PM,26.9,39.2,4.3,1.76,12:58:57 PM,478.94,12:57:43 PM,477.71,1:19:34 PM,499.57,,15,SIMPANG TEGAL BINANGUN,2:32:38 PM,2:32:48 PM,28.7,39.2,5.3,1.90,2:33:07 PM,573.12,2:32:03 PM,572.06,2:50:40 PM,590.66,,15,SIMPANG TEGAL BINANGUN,4:05:36 PM,4:05:46 PM,27.9,44.6,4.8,1.60,4:04:13 PM,664.22,4:02:56 PM,662.94,4:20:47 PM,680.78,,15,SIMPANG TEGAL BINANGUN,5:24:36 PM,5:24:46 PM,29.8,50.8,5.7,1.82,5:24:26 PM,744.43,5:22:55 PM,742.92,5:39:55 PM,759.92
16,DEPO DJKA,6:52:31 AM,,22.5,39.6,2.0,0.38,6:52:08 AM,112.13,6:51:42 AM,111.69,7:02:31 AM,122.52,,16,DEPO DJKA,8:34:50 AM,,21.5,47.5,3.8,0.35,8:34:42 AM,214.69,8:34:10 AM,214.16,8:39:15 AM,219.24,,16,DEPO DJKA,10:03:52 AM,,14.5,31.3,2.0,0.36,10:03:41 AM,303.69,10:02:53 AM,302.89,10:13:00 AM,313.00,,16,DEPO DJKA,11:29:30 AM,,18.2,29.0,3.0,0.37,11:29:15 AM,389.25,11:28:48 AM,388.80,11:35:26 AM,395.43,,16,DEPO DJKA,1:02:11 PM,1:02:21 PM,9.1,28.4,7.0,0.40,1:01:38 PM,481.64,12:59:51 PM,479.85,1:02:26 PM,482.43,,16,DEPO DJKA,2:34:21 PM,2:34:31 PM,16.3,28.4,6.2,0.54,2:34:37 PM,574.62,2:33:46 PM,573.77,2:37:52 PM,577.86,,16,DEPO DJKA,4:08:05 PM,4:08:15 PM,15.5,35.6,3.4,0.26,4:06:36 PM,666.61,4:06:02 PM,666.04,4:10:11 PM,670.19,,16,DEPO DJKA,5:25:41 PM,5:25:51 PM,22.8,43.6,4.5,0.40,5:25:39 PM,745.65,5:25:09 PM,745.15,5:29:56 PM,749.93
17,OPI MALL,6:53:01 AM,,32.0,40.3,3.0,0.54,6:53:32 AM,113.53,6:53:19 AM,113.32,7:03:19 AM,123.32,,17,OPI MALL,8:36:12 AM,,27.4,49.0,3.7,0.56,8:36:04 AM,216.06,8:35:31 AM,215.52,8:43:55 AM,223.91,,17,OPI MALL,10:05:46 AM,,20.7,40.7,4.0,0.53,10:05:24 AM,305.40,10:04:39 AM,304.65,10:11:49 AM,311.82,,17,OPI MALL,11:31:12 AM,,21.0,34.4,4.3,0.54,11:31:03 AM,391.04,11:30:27 AM,390.44,11:37:02 AM,397.03,,17,OPI MALL,1:03:32 PM,1:03:42 PM,25.1,38.9,4.2,0.53,1:03:27 PM,483.45,1:03:00 PM,483.00,1:09:45 PM,489.75,,17,OPI MALL,2:35:36 PM,2:35:46 PM,27.6,38.9,7.1,0.67,2:35:48 PM,575.81,2:35:23 PM,575.38,2:40:01 PM,580.01,,17,OPI MALL,4:09:30 PM,4:09:40 PM,26.8,41.3,3.7,0.39,4:08:57 PM,668.96,4:08:39 PM,668.65,4:14:24 PM,674.41,,17,OPI MALL,5:26:52 PM,5:27:02 PM,29.3,44.6,4.2,0.53,5:26:46 PM,746.77,5:26:24 PM,746.40,5:33:15 PM,753.25
18,DJKA,6:54:50 AM,,31.5,39.2,3.1,0.43,6:53:50 AM,113.84,6:53:40 AM,113.67,7:01:20 AM,121.34,,18,DJKA,8:37:08 AM,,34.8,43.9,4.9,0.41,8:36:54 AM,216.91,8:36:46 AM,216.76,8:41:13 AM,221.22,,18,DJKA,10:07:08 AM,,25.4,37.4,1.4,0.42,10:06:46 AM,306.76,10:06:26 AM,306.44,10:23:46 AM,323.77,,18,DJKA,11:32:53 AM,,23.0,30.0,1.8,0.43,11:32:19 AM,392.32,11:32:04 AM,392.06,11:45:32 AM,405.53,,18,DJKA,1:04:46 PM,1:04:56 PM,22.1,32.4,3.3,0.43,1:04:42 PM,484.70,1:04:20 PM,484.33,1:11:21 PM,491.35,,18,DJKA,2:36:50 PM,2:37:00 PM,27.1,32.4,6.7,0.56,2:36:50 PM,576.84,2:36:38 PM,576.64,2:40:37 PM,580.61,,18,DJKA,4:10:27 PM,4:10:37 PM,26.2,35.1,8.2,0.28,4:10:08 PM,670.14,4:09:59 PM,669.98,4:11:33 PM,671.55,,18,DJKA,5:27:46 PM,5:27:56 PM,31.2,38.5,7.7,0.41,5:27:39 PM,747.66,5:27:30 PM,747.51,5:30:04 PM,750.06
